id,composite_code,component_code,component_name,qty
83678e91-4717-086f-4cce-9191109778d2,LG40300,ML30298,مرايا حمام مع إضاءة لد 80*60 سم,1.000
f0b0ed55-0dd0-fed3-d5d6-b0f289067bfe,AM0347,AB10346,خزانة حمام أبيض,1.000
0349f1e5-387d-ab28-a90f-1a72ae9c30ee,LG40893,LG40890,حوض رخامي كوارتز 80سم,1.000
6f183bb7-fa2a-89d9-c7fb-cfa21d2a8411,AM0566,AB10562,خزانة حمام أبيض,1.000
e60b054d-8799-6811-e560-05c1d6021e86,AM0342,AM40340,مراية دولاب حمام -80 سم,1.000
34fc5b87-3e17-f28d-f700-3712a9ac47fa,AM40697,AM40691,مراية دولاب حمام 80 سم,1.000
f482523b-e483-8f1c-1c5e-0b44f64b22dc,AM0358,AM0333,دولاب حمام 80 سم أبيض,1.000
c60ed2f8-eba5-b1d6-4e9d-1f648e14716e,AM40335,AM40227,مراية دولاب حمام -70 سم,1.000
1177f10d-eb16-a620-be30-c62bdda221cc,ML30229,ML30109,مرايا حمام مع إضاءة لد 80*60 سم,1.000
c1160d5f-5090-5bc3-42e1-5747c0449f7f,AM0801,AM0802,دولاب حمام -80 سم,1.000
7e9e0e9e-fa9c-409c-9c43-ff95d823cd3b,AM0570,AM40569,مراية دولاب حمام -80 سم,1
5c00c36e-241a-be04-6343-fb703cfa5790,LG40559,LG40149,حوض وجه برسلين مشطوف 80 سم,1.000
f88b6481-2427-ad91-e9ec-e7989bbf5a2a,LG40754,ML30751,مرايا حمام مع إضاءة لد-عرض60*80 سم,1.000
4236e786-9645-f4dd-d29f-f9578de5a9a0,AM0840,AB10842,خزانة حمام أبيض,1.000
3bc6a499-ac4c-54d3-6067-e561fb12566f,AM0840,ML30835,مرايا حمام ضد البخار مع إضاءة لد 60*80 سم,1.000
40c23c70-0661-78cd-f7dd-8b8183dfafe7,AM0463,AM0460,دولاب حمام 80 سم,1.000
c5c4997e-7fef-9138-fc1f-3a21b7409ce6,EG40295,EG40345,رف حوض وجه برسلين 80 سم,1.000
e3f87a09-c3aa-f8d9-6e3b-c8b4f2cded09,PSB10153,MD20056,خلاط دوش مع سماعة كروم,1.000
26ef684a-8479-770f-23b4-e2d7ee95d792,AM0561,AB10558,خزانة حمام أبيض,1
b11d90ec-22b1-2300-c3b5-948fe43d5bfd,LG40986,LG40987,حوض كواريون كوارتز80سم أبيض,1.000
760b9276-af7a-7a95-87ca-e4a9f1c9f77a,AM0848,ML30840,مرايا حمام مع إضاءة لد80*60 سم,1.000
4f01548a-1058-d02e-ecc3-670784303533,AM0843,AM0839,حوض وجه مع دولاب حمام -80 سم,1.000
c08b844a-537a-3c9b-7fd4-d9dea883548c,ML30839,ML30079,مرايا حمام مع إضاءة لد 90*60 سم,1.000
9d4d000c-dec4-f40a-2729-0522e5dd8396,ML30225,ML30109,مرايا حمام مع إضاءة لد 80*60 سم,1.000
605fffa7-7c77-2643-83e3-c09e8e7a9094,ML30824,ML30109,مرايا حمام مع إضاءة لد 80*60 سم,1.000
db45f5b7-b717-23f7-ee75-b2e37e76060c,AM0810,AM0078,دولاب حمام -90 سم,1.000
c8bcbe3b-8631-c512-f508-07e55daf32ef,AM0138,AM0135,دولاب حمام 100 سم أبيض,1.000
a35f536f-505b-fcdc-743b-b63ae51aaee6,AM0459,AM0456,دولاب حمام 85 سم,1.000
02822a71-b1e8-6aa9-2abf-00c7a1fb1588,AM0127,AB10110,خزانة حمام أبيض,1.000
705f97e6-45b6-dd78-d15c-aeb7d23f3e3e,AM0359,AM0407,حوض وجه مع دولاب حمام -80 سم,1.000
22e7c024-f951-ce5a-3758-787c35b4e98f,AB10812,AB10741,خزانة حمام أبيض,1.000
f8411c3f-301e-45b3-055e-4abe1d3421a5,AB10350,AB10336,خزانة حمام أبيض,1.000
623b43b8-2c4a-645d-ac45-664469572958,AM0148,AB10412,خزانة حمام 120*24*20,1.000
a8e22393-6bd2-f650-df53-6d748dcc96fc,AM0574,AM0112,حوض وجه مع دولاب حمام -80 سم,1.000
912150ed-7d48-e72e-4da2-32e6c2ab7e3d,ML30844,ML30808,مرايا حمام مع إضاءة لد80*60 سم,1.000
e7da325b-3b0c-a1f3-ec84-f3aee9fecb88,VS10752,VS10462,حوض وجه معلق 80 سم,1.000
d2ba60dd-e4f8-5c1a-7e61-90afbae2a6db,ML30846,ML30079,مرايا حمام مع إضاءة لد 90*60 سم,1.000
f7aa5052-7359-b8c8-0994-e607dd0caa61,AM0840,AM0841,حوض وجه مع دولاب حمام -80 سم,1.000
4b418589-898c-cbe6-1755-6699eed756df,LG40300,EG40295,رف رخامي كوارتز 80سم,1.000
c3456964-b095-598e-2006-b62c57c93a32,LG40198,EG40188,رف حوض وجه برسلين 80 سم,1.000
f765c6b8-f2d6-cb44-8050-ccc9ba3a439d,ML30838,ML30808,مرايا حمام مع إضاءة لد80*60 سم,1.000
f128bf93-dfcf-20b3-275a-6a507b3e3728,LG40860,EG40862,رف كواريون كوارتز 100سم أبيض,1.000
b2bfdfa2-54b4-b9ef-b1eb-99ab94d9666d,AM0804,VS10806,حوض وجه معلق -80 سم,1.000
96832725-aca8-10a1-4cdb-bdb1f177c1ad,AM0954,AM40957,مراية دولاب حمام 70 سم,1.000
8c3f9b20-2ab3-4916-e6b8-5556d913933b,ML30082,ML30109,مرايا حمام مع إضاءة لد 80*60 سم,1.000
7cc1208f-2da9-89d4-d743-dc4fdd460eba,AM0947,AM0951,دولاب حمام -80 سم,1.000
420f5af6-ed3f-f408-4b77-59a098a08a34,AM40560,AM40335,مراية دولاب حمام -80 سم,1.000
1b525340-ca8b-c665-0006-70adaa66c029,WS10016,WS10015,صندوق مقعد معلق أبيض,1.000
