Code article,Désignation,Marque,Modèle,Couleur,Nom fournisseur,Famille,سعر الشراء,Detail - القطاعي - LYD - Lybia,Gros -  الجملة - LYD - Lybia,النوع, مخزن 11 يونيو,مخزن السراج,جنزور
PE30180,لصقة كرتون 200,الشركة العالمية للتصدير و الإستيراد,,شفاف,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),المواد اللاصقة و العازلة,5.75,9,7,,0,4,0
PE30183,"فرشة طلاء 5"" 127 مم",فندر,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),فرشة طلاء,7,10,8.5,,0,4,0
PA30196,منفاخ هواء كهربائي 500 وات,اي بي سي,AC18729,,مجموعة بن عمر BEN AMOR Group,قطع غيار واكسسوارات معدات الحديقة,75,140,110,,0,4,0
ARSB80217,وجه خلاط شطاف مدفون كروم,غروهي,19451002,كروم,دار الخزف للمواد الصحية (11 يونيو),ملحقات خلاط,360,500,440,,1,3,0
PE30218,"سكينة تغليف  2.5"" 6.5 سم",فندر,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),أدوات,3.5,5.5,4.2,,0,4,0
PE30219,"سكينة تغليف  2"" 5 سم",فندر,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),أدوات,3.454,5.5,4.2,,0,4,0
PE30220,"سكينة تغليف  1.5"" 3.8 سم",فندر,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),أدوات,3.25,5,4,,0,4,0
PE30221,"سكينة تغليف  3.5"" 9 سم",فندر,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),أدوات,4,6.5,5,,0,4,0
PA30249,ميزان 30 سم,صولا,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),أدوات القياس والتتبع,6.5,11,8,,0,4,0
RA30254,رأس غاز ظغط,الشركة العالمية للتصدير و الإستيراد,HRP-105,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),أدوات  متعددة الوظائف,33.5,50,42,,0,4,0
ATWC50258,زر بتريا كروم,الشركة التونسية للمواد الصحية,9240701,كروم,دار الخزف للمواد الصحية (11 يونيو),ملحقات مقاعد,140,225,180,مربع,4,0,0
PLSA0265,وردة كروم,ليمكس,LY-2071-CP,كروم,شركة اعمار الجديد,وصلة,13.5,20,17,مربع,2,2,0
ARSB80269,شطاف ظغط مجرح مع طوبو كروم,رايمر,332332OZ,كروم,شركة آفاق المتحدة لإستيراد مواد البناء,شطاف,165,250,225,دائري,0,4,0
ASCA60276,ستريتشة 2.44 متر,الشركة العالمية للتصدير و الإستيراد,,كروم,مجموعة بن عمر BEN AMOR Group,ستريتشة,30,75,50,,0,4,0
AASB30304,حاملة ورق ناعم كلينكس رخامي,ليسو,JR031-8,أبيض,دار الخزف للمواد الصحية (11 يونيو),اكسسوارات,80,150,110,,4,0,0
RA30320,رأس غاز ظغط,الشركة العالمية للتصدير و الإستيراد,HP-300,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),أدوات  متعددة الوظائف,33.5,50,42,,0,4,0
PA30347,مفتاح إنجليزي رقم 8,فندر,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),مفك البراغي يدوي,10.5,16,13,,0,4,0
PA30348,مفتاح إنجليزي رقم 24,فندر,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),مفك البراغي يدوي,32,45,40,,0,4,0
PE30354,مطرقة,الشركة العالمية للتصدير و الإستيراد,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),مطرقة - ماصة,28,40,35,,0,4,0
ARSB80363,كسكاس دوش مربع 300*300 مم كروم,ليسو,JR031-27,كروم,دار الخزف للمواد الصحية (11 يونيو),كسكاس دوش,110,150,95,مربع,3,1,0
PA30366,كاوية لحام,الشركة العالمية للتصدير و الإستيراد,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),أدوات كهربائية صغيرة,7.5,15,10,,0,4,0
PA30409,عجلة باب سحاب  رقم 120,الشركة العالمية للتصدير و الإستيراد,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),ملحقات معدات الباب,66,90,80,,0,4,0
PA30410,عجلة باب سحاب  رقم 80,الشركة العالمية للتصدير و الإستيراد,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),ملحقات معدات الباب,17.5,25,22,نحاس,0,4,0
PA30411,عجلة باب سحاب  رقم 100,الشركة العالمية للتصدير و الإستيراد,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),ملحقات معدات الباب,24.5,35,32,نحاس,0,4,0
PE30414,مقص بي بي ار,الشركة العالمية للتصدير و الإستيراد,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),موس فرش والمقص,6.75,15,9,صغير,0,4,0
PE30415,مقص بي بي ار,الشركة العالمية للتصدير و الإستيراد,B 105,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),موس فرش والمقص,7.5,15,10,,0,4,0
PA30430,ڨوانطي,فندر,,أَحْمَر,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),قفازات,4.25,9,6,,0,4,0
PA30437,خيط تعليم,اي بي سي,AC18515,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),أدوات القياس والتتبع,6.75,12,9,,0,4,0
PA30452,ڨوانطي محبب,الشركة التونسية للمواد الصحية,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),قفازات,1.25,3,2,,0,4,0
PA30461,رأس سخانة بدون ترمستاتة,الشركة العالمية للتصدير و الإستيراد,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),أدوات  متعددة الوظائف,29.5,40,37,قصير,0,4,0
PE30468,كولة رخام 750 مل فازلين شفافة,الشركة العالمية للتصدير و الإستيراد,GeneralKoll,شفاف,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),المواد اللاصقة و العازلة,39.5,55,50,,0,4,0
PE30482,موس فرش,فندر,191800,أسود,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),موس فرش والمقص,8.5,15,14,,0,4,0
PA30486,قطاعة 250 مم رقم 10,اي بي سي,AC19076,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),كماشة القطع,14.5,22,18,,0,4,0
PA30522,ترودي 2.5 * 350 مم (1ممØ),الشركة العالمية للتصدير و الإستيراد,MAGMAWELD 2.5x350,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),لحام,37.5,55,54,,0,4,0
PA30525,موس منشار 12'' 300 مم (3 قطع),فندر,191573,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),منشار يدوي,5.5,10,7,,0,4,0
PE30591,مشمع ثقيل 6 * 7,الشركة العالمية للتصدير و الإستيراد,,رصاصي,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),التغطية والحماية,65,95,80,,0,4,0
RA20597,"فلفلة باب  1"" سن داخلي",الشركة العالمية للتصدير و الإستيراد,,,الشيباني لمواد البناء و المواد الصحية,مثلث,29,55,45,,0,4,0
PA30615,قفل باب سحاب 40 مم,الشركة العالمية للتصدير و الإستيراد,447/PB,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),قفل باب,67,95,82,,0,4,0
PA30616,قفل باب سحاب 30 مم,الشركة العالمية للتصدير و الإستيراد,447/S,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),قفل باب,66,93,80,,0,4,0
PA30618,قفل درج 22 مم,الشركة العالمية للتصدير و الإستيراد,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),قفل باب,3.25,5,4,,0,4,0
EL10385,حوض مطبخ ستانلس ستيل   304 81 *45 سم,أسيل,AS3455,كروم,شركة النخبة الفريدة لاستيراد مواد البناء,حوض مطبخ ستانلس ستيل,575,750,750,فردي,2,2,0
EL10387,حوض مطبخ ستانلس ستيل   304 75 * 45 سم,أسيل,AS3457,كروم,دار الخزف للمواد الصحية (11 يونيو),حوض مطبخ ستانلس ستيل,630,900,880,زوجي,2,2,0
ARSB80388,شطاف ظغط مع طوبو كروم,سانيتاري ويرز,418,كروم,دار الخزف للمواد الصحية (11 يونيو),شطاف,35,80,50,دائري,2,2,0
AASB30393,مجفف شعر أسود,بريمكس,WL27,أسود,دار الخزف للمواد الصحية (11 يونيو),اكسسوارات,136.5,160,130,,0,4,0
LG40081,قاعدة حوض وجه برسلين 90 سم,سانيتاري ويرز,A05,,دار الخزف للمواد الصحية (11 يونيو),حوض وجه برسلين,200,300,260,معلق,2,2,0
ML10059,خلاط حوض وجه  15 سم كروم ,شيزا,MELLOW,كروم,  شركة أجياد ليبيا ,خلاط حوض وجه,198,380,380,قصير,3,1,0
MDE50049,خلاط دوش مدفون كروم ,توريما,8V01011-092,كروم,شركة الركن الجديد,خلاط دوش مدفون,275,480,480,دائري,1,3,0
ARSB80019,مخرج شطاف كروم,توريما,0182711-T41,كروم,  شركة أجياد ليبيا ,مخرج شطاف,65,430,300,مربع,0,4,0
MDE50022,خلاط دوش مدفون كروم,فرامو,NM207CR,كروم,شركة الركن الجديد,خلاط دوش مدفون,255,390,338,,2,2,0
ML10075,خلاط حوض وجه أسود ,فيرمر,YLN18559-1H,أسود,شركة لمسات البناء,خلاط حوض وجه,125,200,160,دائري,2,2,0
MT30008,خلاط شطاف مع شطاف كروم,سانيتاري ويرز,PURE MOH-42,كروم,شركة البهراء العالمية الحديثة,خلاط شطاف,50,90,70,دائري,4,0,0
ARSB80139,شطاف ظغط دائري مع طوبو كروم,ليسو,902,كروم,دار الخزف للمواد الصحية (11 يونيو),شطاف,98,150,150,دائري,2,2,0
ARSB80165,سماعة دوش مع طوبو كروم,سانيتاري واير,BOSINI SH-05,كروم,دار الخزف للمواد الصحية (11 يونيو),سماعة دوش,25,60,40,مربع,4,0,0
ARSB80168,سماعة دوش مع طوبو أسود,ليمكس,LY2189S,أسود,دار الخزف للمواد الصحية (11 يونيو),سماعة دوش,185,145,120,مربع,0,4,0
MD20060,خلاط دوش مع سماعة كروم,سانيتاري ويرز,8028,كروم,شركة العامر لإستيراد مواد البناء و الصحية,خلاط دوش,100,170,120,دائري,2,2,0
ALVM50027,سيفون حوض الوجه اسود,سانيتاري ويرز,,أسود,دار الخزف للمواد الصحية (11 يونيو),سيفون حوض الوجه,65,120,85,مربع,4,0,0
ARSB80182,مخرج شطاف مربع بالعلاقة أسود,سانيتاري ويرز,992,أسود,دار الخزف للمواد الصحية (11 يونيو),مخرج شطاف,17.143,50,30,مربع,4,0,0
ART0007,كسكاس دوش مربع 200*200 مم كروم,رايمر,,كروم,شركة آفاق المتحدة لإستيراد مواد البناء,كسكاس دوش,145,230,190,مربع,1,3,0
RA30080,طوبو1'' (1 متر),الرطيل,جي أم GM,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),مواسير - طوبو,3.667,10,7,,0,4,0
RA30082,طوبو1.5'' (1 متر),الرطيل,جي أم GM,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),مواسير - طوبو,4.667,11,9,,0,4,0
ARSB80197,قصبة دوش  40 سم شبشاشة كروم,سانيتاري ويرز,,كروم,شركة لمسات البناء,قصبة دوش,57,100,75,دائري,3,1,0
ARSB80399,سماعة دوش مع طوبو ذهبي,ليمكس,LY2189S-Gold,ذهبي,شركة اعمار الجديد,سماعة دوش,195,300,300,مربع,4,0,0
MC10013,مجرى 50 سم *6 سم كروم,فيرونا ,SP540,كروم,مجموعة العربي,مجرى,240,350,320,مستطيل,-1,5,0
SA10020,طقم اكسسوار خزف رباعي أسود,سانيتاري ويرز,ALPER HOME 4,أسود,مسوق أكسسوارات الزاوية,طقم اكسسوارات,37,75,50,دائري,2,2,0
AASB30056,صابونية كروم,فينوس,BA707,كروم,شركة لمسات البناء,اكسسوارات,59,95,75,حائطي,4,0,0
AASB30057,صابونية زجاجي,جي اف مارك,9200-67,شفاف,  شركة أجياد ليبيا ,اكسسوارات,38,70,50,حائطي,4,0,0
AASB30079,صابونية أسود,KBM,9111,أسود,مجموعة الخليج,اكسسوارات,35,60,48,دائري,4,0,0
AASB30080,حاملة فرشاة أسنان أسود,KBM,9112,أسود,مجموعة الخليج,اكسسوارات,35,65,50,دائري,4,0,0
ART0016,طوبو دوش 200سم كروم,فينوس,SH-200,كروم,شركة لمسات البناء,طوبو دوش,31,55,40,,0,4,0
ART0024,حاملة فوط كروم,فينوس,BA706,كروم,شركة لمسات البناء,اكسسوارات,51.41,100,80,حائطي,-1,5,0
PS20139,علاقة مناشف كروم,سانيتاري ويرز,AVATAR,كروم مطفي,نوكسي تركيا,علاقة مناشف,50,85,70,دائري,4,0,0
AASB30157,حاملة فوط أسود,سانيتاري ويرز,MILET 37077-K,أسود,نوكسي تركيا,اكسسوارات,70,115,90,مربع,2,2,0
ATWC50179,زر بتريا ذهبي,غروهي,38732GLO,ذهبي,دار الخزف للمواد الصحية (11 يونيو),ملحقات مقاعد,385,780,760,مربع,3,1,0
PD20044,حاجز دوش 8 مم  مظلم 120  سم,ليسو,WIC-120A,,دار الخزف للمواد الصحية (11 يونيو),حاجز دوش,495,750,700,,3,1,0
MC10047,مجرى 30 سم *6 سم أسود,تركي,,أسود,دار الخزف للمواد الصحية (11 يونيو),مجرى,80,130,105,مستطيل,4,0,0
PA30047,مفتاح بيبة رقم 22 مم,الشركة العالمية للتصدير و الإستيراد,AC18693,كروم,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),مفاتيح,13.5,20,16.5,,0,4,0
PA30016,مفتاح بيبة رقم15مم,الشركة العالمية للتصدير و الإستيراد,AC18693,كروم,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),مفاتيح,6.5,12,10,,0,4,0
PA30057,متر 5م,ABC,,أَصْفَرُ,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),أدوات القياس والتتبع,11.5,18,8,,0,4,0
MC10057,سرفنتينة 15 سم * 15 سم كروم ,ستار سانيتار,MARMARA,كروم,ستار سانيتار,مجرى,35.5,65,45,مربع,4,0,0
MC10083,مجرى 45سم *7 سم كروم,بيورا,DL-06-45,كروم,شركة الركن الجديد,مجرى,257,320,310,مستطيل,4,0,0
MC10089,مجرى 60سم *7 سم كروم,بيورا,DL-06-60,كروم,شركة الركن الجديد,مجرى,160,280,195,مستطيل,4,0,0
MC10091,مجرى خارجي  50 سم *13 سم كروم,ستار سانيتار,,كروم,ستار سانيتار,مجرى,158,240,200,مستطيل,0,4,0
ARSB80237,طوبو دوش 175سم كروم,بضائع أوروبية,F21217141753,كروم,مجموعة العربي,طوبو دوش,32,55,43,,4,0,0
ARSB80230,وصلة مسطرة دوش50سم ذهبي,سانيتاري ويرز,,ذهبي,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),طوبو دوش,12,25,20,دائري,4,0,0
EL50966,لامبة لد 40وات,دي بي اس,E27,أسود,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),المصابيح الكهربائية,7,13,12,,0,4,0
VS10113,حوض وجه معلق - يمين -80 * 35 سم,تركواز سيراستايل,SHARP,أبيض,شركة الصداقة,حوض وجه معلق,392.85,590,450,مربع,0,4,0
VP20115,حوض وجه دائري فوق الرخام - 46سم,تركواز سيراستايل,ZERO,أبيض,شركة الصداقة,حوض فوق الرخام,205,450,440,دائري,2,2,0
AASB30164,حاملة فرشاة أسنان ,بضائع أوروبية,,أسود,تولين للبضائع الأوروبية,اكسسوارات,10,45,30,حائطي,4,0,0
ADOU50187,سيفون حوض قدم,سانيتاري ويرز,راس كبير,أبيض,شركة البهراء العالمية الحديثة,ملحقات دوش,30,45,45,بلاستك,4,0,0
ATWC50210,مثبت غطاء مقعد جانبي ,سانيتاري ويرز,,أبيض,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),ملحقات مقاعد,2.5,10,5,بلاستك,4,0,0
ALVM50208,مولة عمود حوض الوجه,سانيتاري ويرز,,كروم,شركة البهراء العالمية الحديثة,ملحقات أحواض مغاسل,2.75,10,7,مولا,4,0,0
PS20760,علاقة مناشف,سانيتاري ويرز,6-133,كروم,دار الخزف للمواد الصحية (11 يونيو),علاقة مناشف,35,70,55,مستطيل,0,4,0
EL10136,حوض مطبخ ستانلس ستيل   304 60 * 45 سم,أسيل,AS3467,كروم,دار الخزف للمواد الصحية (السراج),حوض مطبخ ستانلس ستيل,475,650,600,فردي,4,0,0
ATWC50154, زر بتارية مقعد كبير ,سانيتاري ويرز,,كروم لامع,شركة البهراء العالمية الحديثة,ملحقات مقاعد,3.5,10,9,دائري,0,4,0
CD40162,مسطرة دوش زوجية دهبي ,سانيتاري ويرز,,ذهبي,شركة البهراء العالمية الحديثة,مسطرة دوش,135,250,200,دائري,2,2,0
AASB30784,موزع صابون سائل كروم,بضائع أوروبية,1397,ذهبي,مجموعة الجذور للاسواق التجارية,اكسسوارات,5,13,10,حائطي,4,0,0
VP20786,حوض وجه فوق الرخام أبيض ,سانيتاري ويرز,A05,أبيض,دار الخزف للمواد الصحية (11 يونيو),حوض فوق الرخام,175,260,230,مربع,2,2,0
ARSB80357,سماعة دوش مع طوبو ذهبي,سلارنو,SS-09,ذهبي,شركة البهراء العالمية الحديثة,سماعة دوش,25.5,75,60,دائري,0,4,0
ARSB80804,شطاف ضغط دائري مع طوبو ذهبي,فوكس,VX-03G,ذهبي,شركة لمسات البناء,شطاف,63,120,90,دائري,4,0,0
WP20809,مقعد أرضي أبيض,ايجا فتريفاي,LIKYA-12000,أبيض,مجموعة الخليج,مقعد أرضي,300,550,500,دائري,4,0,0
LG40172, حوض وجه برسلين مشطوف 80 سم ,ليسو,3080,,دار الخزف للمواد الصحية (السراج),حوض وجه برسلين,400,600,540,معلق,3,1,0
EG40173,رف حوض وجه برسلين 80 سم,ليسو,3080,,دار الخزف للمواد الصحية (السراج),رف حوض وجه برسلين,180,350,280,معلق,3,1,0
PLSA0208,وردة كروم,سانيتاري ويرز,,كروم,دار الخزف للمواد الصحية (السراج),وصلة,6.75,10,10,مربع,4,0,0
RE10218,حنفية حوض المطبخ شجرة كروم,سانيتاري ويرز,SALERNO,كروم,شركة البهراء العالمية الحديثة,حنفية حوض المطبخ,13.75,30,30,,0,4,0
EG30419,حوض مطبخ جرانيت رمادي محبب 55*44 ,سانيتاري ويرز,جرمة,رصاصي,شركة الصداقة,حوض مطبخ جرانيت,225,370,340,فردي,2,2,0
ARSB80426,مصب دوش مع تحويلة كروم,ريفانا,CND411,كروم,مجموعة الشريف,مصب دوش,72,150,100,مربع,4,0,0
ARSB80428,كسكاس دوش دائري 250 مم كروم  مع القصبة,مونتانا س.ل,MT-2525R,كروم,مجموعة الشريف,كسكاس دوش,190,280,250,دائري,4,0,0
SA10429,طقم اكسسوار أسود\كروم,ديولو,50-10-49,أسود-كروم   ,شركة النخبة الفريدة لاستيراد مواد البناء,طقم اكسسوارات,235,350,325,دائري,4,0,0
CD40235,مسطرة دوش مع خلاط ذهبي,ا بي ام انترناشونال,2003,ذهبي,شركة البهراء العالمية الحديثة,مسطرة دوش,465,650,600,,1,3,0
CD40238,مسطرة دوش مع خلاط  دهبي ,ا بي ام انترناشونال,1003,ذهبي,شركة البهراء العالمية الحديثة,مسطرة دوش,335,550,520,,2,2,0
ARSB80251,سماعة دوش مع طوبو ذهبي,توريما,1372-010,ذهبي,دار الخزف للمواد الصحية (السراج),سماعة دوش,205,340,310,دائري,0,4,0
MD20242,خلاط دوش كروم,توريما,VELVET 8V16211-093,كروم,دار الخزف للمواد الصحية (السراج),خلاط دوش,395,550,550,,2,2,0
MA20460,خلاط حوض المطبخ سحاب كروم,ديولو,WJ-1033,كروم,شركة النخبة الفريدة لاستيراد مواد البناء,خلاط حوض المطبخ سحاب,180,300,250,,4,0,0
ARSB80468,"مسكر شطافة دبل ""1/2"" * ""1/2 كروم",تركارت,MIKRO,كروم,شركة المضمونة للبناء,مخرج شطاف,53.5,90,70,دائري,4,0,0
PD20288,حاجز دوش 8 مم بالعلاقة المناشف100 سم,ليسو,WIC-100E,,دار الخزف للمواد الصحية (السراج),حاجز دوش,410,700,680,,2,2,0
ARSB80594,وجه خلاط شطاف مدفون كروم,دانيال,5602ROCR,كروم,مجموعة العربي,ملحقات خلاط,38.5,65,50,,3,1,0
WS10594,مقعد معلق تورنيدو أبيض ,ب.أمور,SH-035,أبيض,South Villa,مقعد معلق,405,700,550,مربع,0,1,3
ARSB80611,وجه خلاط شطاف مدفون دائري كروم,توريما,0127611-001,كروم,دار الخزف للمواد الصحية (11 يونيو),ملحقات خلاط,55,80,75,دائري,3,1,0
ARSB80612,وجه خلاط دوش مدفون دائري كروم,توريما,0147911-40,كروم,دار الخزف للمواد الصحية (11 يونيو),ملحقات خلاط,90,160,160,دائري,3,1,0
ARSB80613,يد خلاط  مدفون كروم,توريما,VELVET,كروم,دار الخزف للمواد الصحية (11 يونيو),ملحقات خلاط,50,75,60,دائري,3,1,0
ARSB80639,"مسكر شطافة ""1/2"" * ""1/2 كروم",بن أمور,,كروم,مصنع خلاطات و أكسسوارات الصين,مخرج شطاف,14,30,25,مربع,2,1,1
ARSB80682,وجه خلاط دوش مدفون مربع كروم,توريما,0124911-T40,كروم,دار الخزف للمواد الصحية (11 يونيو),ملحقات خلاط,95,170,170,مربع,3,1,0
ME10684,خلاط حوض المطبخ شجرة كروم,فولنا,VO8015,كروم,مسوق سيف الاسلام زليتي,خلاط حوض المطبخ شجرة,95,150,120,مربع,4,0,0
AM40691,مراية دولاب حمام 80 سم,بن أمور,T305-8046,بيج,مصنع خلاطات و أكسسوارات الصين,مراية دولاب,200,400,390,حائطي,0,1,3
AASB30713,مورش صابونية دائري,بن أمور,مجموعة بن عمر,شفاف,مصنع خلاطات و أكسسوارات الصين,اكسسوارات,5,15,10,دائري,4,0,0
PE30789,برايمر كالي 5كجم ,kalekim,العازل,,شركة الثريا لمستلزمات الرخام والسراميك ,الجدران خارجي,100,120,115,,0,4,0
AETS20378,تفلون سائل 15ml,سانيتاري ويرز,,,شركة كرزاز لاستيراد مواد البناء ,ملحقات عوازل صحية,6.9,15,12,دائري,0,4,0
ARSB85499,رشاش دوش ذهبي,اي ار بي,9075,كروم,مجموعة العربي,كسكاس دوش,105,200,170,مربع,0,4,0
MDE50399,خلاط دوش مدفون كروم ,ARB,KLDI621LYC00,كروم,مجموعة العربي,خلاط دوش مدفون,285,450,400,دائري,0,4,0
MTE60400,خلاط شطاف مدفون كروم ,ARB,KIDI120LYC00,كروم,مجموعة العربي,خلاط شطاف مدفون,160,260,230,دائري,0,4,0
ARSB80453,كسكاس دوش دائري 300 مم كروم,فينوس,UTR12,كروم,شركة لمسات البناء,كسكاس دوش,75.66,140,120,دائري,0,4,0
ARSB80473,قصبة دوش 35 سم كروم,فينوس,SAR15,كروم,شركة لمسات البناء,قصبة دوش,89.24,140,120,دائري,0,4,0
AASB30413,حاملة فوط كروم,فينوس,GR-02,كروم,شركة لمسات البناء,اكسسوارات,64.02,100,85,حائطي,0,4,0
ML30398, مرايا حمام مع إضاءة لد مع بخار 60 اطار ذهبي ,سانيتاري ويرز,L804,ذهبي,شركة لمسات البناء,مراية مضيئة,218.25,350,300,لاد,0,4,0
ARSB80442,شطاف ضغط  مع طوبو كروم,سانيتاري ويرز,NONAS,كروم,شركة لمسات البناء,شطاف,41.71,95,70,دائري,0,4,0
ARSB80754,مصب دوش بدون تحويلة كروم ,فيدار,FD12002-C,كروم,المسوق الاسطى,مصب دوش,57,90,75,دائري,4,0,0
PS20781,علاقة مناشف كروم,بضائع أوروبية,230610,كروم,تولين للبضائع الأوروبية,علاقة مناشف,35,65,50,مربع,4,0,0
PA30425,نايلو تغليف ,سانيتاري واير,,رصاصي,محلات الاعتماد (السراج),أحذية السلامة,38.5,50,42,طويل,0,4,0
ML30786,مرايا حمام ضد البخار مع إضاءة لد 70*70 سم,سانيتاري ويرز,4001,,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,290,450,380,دائري,4,0,0
ML30790,مرايا حمام ضد البخار مع إضاءة لد 60*80 سم,سانيتاري ويرز,4007,,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,105,170,140,مستطيل,4,0,0
ARSB80807,شطاف ظغط دائري مع طوبو أسود,توريما,1372-03329-031,أسود,  شركة أجياد ليبيا ,شطاف,230,350,350,دائري,2,2,0
MLE40821,خلاط حوض وجه مدفون ذهبي ,توريما,EDGE 8E31333-094,ذهبي,  شركة أجياد ليبيا ,خلاط حوض وجه مدفون,850,1300,1100,طويل,2,2,0
PS20820,علاقة مناشف فردية كروم,توريما,1372-ACCESS-002,كروم,  شركة أجياد ليبيا ,علاقة مناشف,145,250,250,معلق,3,1,0
MDE50821,خلاط دوش مدفون فلفيت أسود ,توريما,8V010BB-090,أسود,  شركة أجياد ليبيا ,خلاط دوش مدفون,650,950,900,مربع,2,2,0
MTE60822,خلاط شطاف مدفون شريحة مربع كروم ,توريما,MERIDA 8Q00011-093,كروم,  شركة أجياد ليبيا ,خلاط شطاف مدفون,235,370,320,مربع,5,-1,0
SC10832,بوكس زاوية  200*100*80 سم كروم,سانيتاري ويرز,,كروم,مسوق الجميل,بوكس حمام,400,800,700,,4,0,0
MT30861,خلاط شطاف ذهبي ,سانيتاري ويرز,OM-104-GOLD,ذهبي,شركة النخبة الفريدة لاستيراد مواد البناء,خلاط شطاف,65,130,90,,4,0,0
ML30863,مرايا حمام مع إضاءة لد 60*100 سم عرض,ديولو,DE 019,,شركة النخبة الفريدة لاستيراد مواد البناء,مراية مضيئة,105,200,195,لاد,4,0,0
RFP1869,"فسيبلي "" 1/2 أنثى * ""1/2 أنثى 50سم",فانسكي,اسباني,ذهبي,شركة اعمار الجديد,فسيبلي,65,100,100,دائري,0,4,0
VS10874,حوض وجه معلق 80*48سم,تركواز سيراستايل,LILA,أبيض,شركة الصداقة,حوض وجه معلق,267,550,550,مربع,4,0,0
ELC1413,"مطول كهرباء 4مدخل 5متر
",الشركة العالمية للتصدير و الإستيراد,,,محلات الاعتماد (السراج),الأسلاك والكابلات,30.5,50,45,,0,4,0
PA30416,فيتي 3.5 * 40 (1كيلوا),الشركة العالمية للتصدير و الإستيراد,,أسود,محلات الاعتماد (السراج),برغي,12.5,20,18.5,,0,4,0
PA30417,سرية بونتة خشب ,الشركة العالمية للتصدير و الإستيراد,,,محلات الاعتماد (السراج),أدوات الثقب,8.25,18,16,قصير,0,4,0
VS10883,عمود حوض وجه أرضي أبيض ,ايجا فتريفاي,KAPYA-15102001,أبيض,مجموعة الخليج,حوض وجه معلق,40,120,70,أرضي,4,0,0
AASB30427,رف زاوية زوجي ذهبي ,ليسو,wl-6,ذهبي,دار الخزف للمواد الصحية (السراج),اكسسوارات,115,200,175,زوجي,0,4,0
SA10809,طقم اكسسوار أسود الامونيوم ,ليسو,18B-079,أسود,دار الخزف للمواد الصحية (السراج),طقم اكسسوارات,145,260,245,مربع,0,4,0
PA30424,متر 5م,فندر,,بُرْتُقَالِيّ,محلات الاعتماد (السراج),أدوات القياس والتتبع,8,15,12,,0,4,0
PE30435,موس فرش,,,أسود,محلات الاعتماد (السراج),موس فرش والمقص,2.5,8,6,,0,4,0
MC10439,غطاء غرفة تفتيش 60*60 فايبر اسود,ستار سانيتار,,أسود لامع,محلات الاعتماد (السراج),مجرى,63,75,70,مربع,0,4,0
MC10440,غطاء غرفة تفتيش 80*80 فايبر اسود,ستار سانيتار,,أسود لامع,محلات الاعتماد (السراج),مجرى,175,220,200,مربع,0,4,0
PD20889,حاجز دوش 100 * 190 سم 8مم  أسود,سانيتاري ويرز,PF-40-12/100,أسود,شركة النخبة الفريدة لاستيراد مواد البناء,حاجز دوش,465,700,660,,3,1,0
RO10924,مسكر زاوية  ''1/2 * ''1/2 ذهبي,سانيتاري ويرز,POLO-002,ذهبي,دار الخزف للمواد الصحية (السراج),حنفية,19,35,25,مربع,4,0,0
MT30928,خلاط شطاف كروم ,أيولي,9425-100 STILE,كروم,دار الخزف للمواد الصحية (السراج),خلاط شطاف,235,350,330,,4,0,0
