Code article,Désignation,Marque,Modèle,Couleur,Nom fournisseur,Famille,سعر الشراء,Detail - القطاعي - LYD - Lybia,Gros -  الجملة - LYD - Lybia,النوع, مخزن 11 يونيو,مخزن السراج,جنزور
ARSB80194,قصبة دوش 40 سم أسود,سانيتاري ويرز,DIOLLO 7956-2-4,أسود,دار الخزف للمواد الصحية (11 يونيو),قصبة دوش,36,65,50,مربع,3,4,0
AASB30048,صابونية كروم,ليسو,JR031-1,كروم,دار الخزف للمواد الصحية (11 يونيو),اكسسوارات,65,110,55,حائطي,1,6,0
PS20134,علاقة مناشف متحركة كروم,ونكو,MEZZANO,كروم,تولين للبضائع الأوروبية,علاقة مناشف,40,70,60,معلق,4,3,0
AR20046,طلاء مائي داخلي 10 كغ أبيض,دهانات المدينة مصراتة,أصول,أبيض,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),الجدران والسقف,34.92,60,40,,0,7,0
TO9054,مفتاح ربط رقم11 مم,الشركة العالمية للتصدير و الإستيراد,AC18693,كروم,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),مفاتيح,2.25,10,9,,0,7,0
MC10061,مجرى 50 سم *7 سم كروم,الشركة التونسية للمواد الصحية,JASMIN 7198,كروم,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),مجرى,56,90,75,مستطيل,7,0,0
ARSB80236,طوبو دوش 150سم كروم,سانيتاري ويرز,,كروم,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),طوبو دوش,1.5,10,5,,7,0,0
PE30994,عازل ناري 4 كغ,دهانات المدينة مصراتة,العازل,شفاف,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),الجدران خارجي,76.8,110,82,,0,7,0
P30097,عصاة رولة ,الشركة العالمية للتصدير و الإستيراد,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),فأس,9.75,20,17,,0,7,0
WA40115,غطاء مقعد تركي أبيض,سانيتاري ويرز,,أبيض,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),غطاء مقعد,21,35,30,دائري,0,7,0
ARSB80289,"مسكر شطافة ""1/2"" * ""1/2 كروم",TECHNO,bold,كروم,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),مخرج شطاف,4.1,20,10,دائري,7,0,0
ARSB80530,طوبو شطاف 1.2 م رصاصي,تركي,EKOL,رصاصي,شركة المضمونة للبناء,طوبو شطاف,8,25,15,,7,0,0
ARSB80604,"مسكر شطافة ""1/2"" * ""1/2 كروم",بضائع أوروبية,HSH,كروم,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),مخرج شطاف,35,50,45,دائري,0,7,0
ARSB80958,شطاف ضغط مربع مع طوبو ذهبي,سانيتاري ويرز,SALERNO,ذهبي,شركة البهراء العالمية الحديثة,شطاف,37,100,75,مربع,0,7,0
RFP1779,"فسيبلي "" 1/2 أنثى * ""1/2 أنثى 50سم",سانيتاري ويرز,Turkiye,كروم,مجموعة النجار لاستراد مواد البناء,فسيبلي,11,17,15,دائري,7,0,0
ALVM50428,سيفون حوض الوجه كروم,مونتانا س.ل,MT-9102,كروم,مجموعة الشريف,سيفون حوض الوجه,165,250,210,مربع,7,0,0
ARSB80257,مخرج شطاف ذهبي مع علاقة,توريما,1372-01018-007,ذهبي,دار الخزف للمواد الصحية (السراج),مخرج شطاف,155,270,240,مربع,4,3,0
MT30243,خلاط شطاف كروم ,توريما,VELVET 8V25111-093,كروم,دار الخزف للمواد الصحية (السراج),خلاط شطاف,295,380,380,,2,5,0
MD20246,خلاط دوش أسود,ليسو,B15-031,أسود,دار الخزف للمواد الصحية (السراج),خلاط دوش,105,200,175,,2,5,0
ML10247,خلاط حوض وجه اسود,ليسو,B19-133,أسود,دار الخزف للمواد الصحية (السراج),خلاط حوض وجه,115,280,280,مربع,1,6,0
ARSB80464,كسكاس دوش مربع 300*300 مم كروم,ديولو,,كروم,شركة النخبة الفريدة لاستيراد مواد البناء,كسكاس دوش,48,110,70,مربع,7,0,0
WP20477,مقعد أرضي ملحوم مربع قصير أبيض,ب.أمور,SH-805 ,أبيض,South Villa,مقعد أرضي,680,1150,850,مربع,1,0,6
ARSB80586,شطاف ظغط مربع مع طوبو كروم,بريمكس,1120,كروم,شركة لمسات البناء,شطاف,57.1,120,90,مربع,0,7,0
RA20554,"مخفض قومه 1.5"" ",سانيتاري ويرز,,أبيض,محلات الاعتماد 11يونيو,مخفض,2.1,7,5,,-3,10,0
RA20555,مخفض قومه 50*26*35 ايطالي ,سانيتاري ويرز,,أسود,محلات الاعتماد 11يونيو,مخفض,2.6,7,5,,7,0,0
ML30592,مرايا حمام مع إضاءة لد مربعة 60*80سم,سانيتاري ويرز,20010,أسود,شركة النخبة الفريدة لاستيراد مواد البناء,مراية مضيئة,145,240,235,مربع,6,1,0
MC10646,مجرى 40 سم *8 سم ذهبي,بن أمور,,ذهبي,مصنع خلاطات و أكسسوارات الصين,مجرى,85,220,220,مستطيل,4,2,1
ARSB80658,شطاف ظغط مربع مع طوبو أسود,بن أمور,,أسود,مصنع خلاطات و أكسسوارات الصين,شطاف,40,100,60,مربع,4,3,0
MDE50674,خلاط دوش مدفون شريحة دائري كروم ,توريما,THEOS 9201011-093,كروم,  شركة أجياد ليبيا ,خلاط دوش مدفون,345,530,500,دائري,6,1,0
EL10685,حوض مطبخ ستانلس ستيل 304 75*45,بن أمور,مجموعة بن عمر,كروم,مصنع خلاطات و أكسسوارات الصين,حوض مطبخ ستانلس ستيل,250,450,400,فردي,2,5,0
AM0690,دولاب حمام مع حوض وجه 80 سم,بن أمور,T305-8046,بيج,مصنع خلاطات و أكسسوارات الصين,دولاب حمام,500,1100,900,حائطي,3,1,3
CC10370,كولة فواصل 001,kalekim,WHITE,,شركة الثريا لمستلزمات الرخام والسراميك ,كولة بلاط أرضيات,35,44,40,,0,7,0
ARSB88899,سماعة دوش مع طوبو كروم,اي ار بي,092101,كروم,مجموعة العربي,سماعة دوش,103,180,160,مربع,1,6,0
ARSB87799,شطاف ظغط دائري مع طوبو كروم,اي ار بي,050201,كروم,مجموعة العربي,شطاف,79,160,145,دائري,2,5,0
ARSB80763,مخرج شطاف مع علاق ذهبي,فيدار,FD12005-G,ذهبي,المسوق الاسطى,مخرج شطاف,41,65,55,دائري,7,0,0
ALVM50776,رأس سيفوني كروم,فيب,OSY-6,كروم,دار الخزف للمواد الصحية (11 يونيو),رأس سيفوني,18,65,55,دائري,7,0,0
ML30791, مرايا حمام مع إضاءة لد مع بخار 60 اطار أسود ,سانيتاري ويرز,4008,أسود,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,175,270,220,دائري,7,0,0
MTE60806,خلاط شطاف مدفون ميريدا أسود ,توريما,8Q007BB-093/2,أسود,  شركة أجياد ليبيا ,خلاط شطاف مدفون,475,720,700,مربع,4,3,0
MDE50823,خلاط دوش مدفون شريحة مربع كروم ,توريما,MERIDA 8Q 1011-093,كروم,  شركة أجياد ليبيا ,خلاط دوش مدفون,375,570,550,مربع,7,0,0
MA20895,خلاط حوض المطبخ سحاب أسود,سانيتاري ويرز,WL16,أسود,دار الخزف للمواد الصحية (11 يونيو),خلاط حوض المطبخ سحاب,230,350,320,مربع,4,3,0
ARSB80908,كسكاس دوش مربع 300*200 مم مع قصبة كروم,سانيتاري ويرز,OM-118C,كروم,شركة النخبة الفريدة لاستيراد مواد البناء,كسكاس دوش,54,110,70,مربع,3,4,0
MA20932,خلاط حوض المطبخ سحاب كروم,ليسو,JR031-77C,كروم,دار الخزف للمواد الصحية (11 يونيو),خلاط حوض المطبخ سحاب,135,260,180,دائري,5,2,0
ML30750,مرايا حمام مع إضاءة لد ,سانيتاري ويرز,001,,شركة النخبة الفريدة لاستيراد مواد البناء,مراية مضيئة,100,150,140,لاد,4,3,0
ML10786,خلاط حوض وجه كروم,سانيتاري ويرز,OM-225,كروم,شركة النخبة الفريدة لاستيراد مواد البناء,خلاط حوض وجه,148,230,200,مربع,4,3,0
RA20468,"سنيسكا 25"" اسود مربع",الجودة,بي بي ر - PPR,أسود,شركة الجودة vip,سنيسكا,105,180,120,,0,7,0
ARSB80792,قصبة دوش دائري 40 سم كروم,ليسو,JR031-33-40CM,كروم,دار الخزف للمواد الصحية (11 يونيو),قصبة دوش,33,50,50,دائري,7,0,0
