location_name,product_code,product_name,qty
فرع 11 يونيو,ADOU50220,لصقة عازلة للماء 3.5 م*2.8 سم,1.000
فرع 11 يونيو,ADOU50323,كروم M3/4'' M1/2''  M1/2'' محول مسطرة دوش,2.000
فرع 11 يونيو,ADOU50727,كرسي دوش بالظهر,2.000
فرع 11 يونيو,ADOU50728,كرسي دوش بدون ظهر,1.000
فرع 11 يونيو,AECU50001,غسالة أكواب حوض المطبخ,2.000
فرع 11 يونيو,AECU50037,رقبة خلاط حوض مطبخ,3.000
فرع 11 يونيو,AECU50056,صابونية حوض مطبخ كروم,3.000
فرع 11 يونيو,AECU50057,صابونية حوض مطبخ أسود,8.000
فرع 11 يونيو,AECU50058,رقبة خلاط حوض مطبخ أسود,5.000
فرع 11 يونيو,AECU50097,سيفون حوض المطبخ معا راجع,-4.000
فرع 11 يونيو,AECU50099,سيفون حوض المطبخ رأس كبير,6.000
فرع 11 يونيو,AECU50134,سيفون حوض المطبخ,-1.000
فرع 11 يونيو,AECU50151,سلة تجفيف لحوض المطبخ رصاصي,1.000
فرع 11 يونيو,AECU50180,سيفون حوض المطبخ رأس صغير,6.000
فرع 11 يونيو,AECU50198,سيفون حوض المطبخ,2.000
فرع 11 يونيو,AECU50200,سيفون حوض المطبخ,-1.000
فرع 11 يونيو,AECU50203,سيفون حوض المطبخ,-3.000
فرع 11 يونيو,AECU50213,سيفون حوض المطبخ,1.000
فرع 11 يونيو,AECU50235,رقبة خلاط حوض مطبخ,3.000
فرع 11 يونيو,AECU50425,سيفون حوض المطبخ,9.000
فرع 11 يونيو,AECU50556,سيفون حوض المطبخ,4.000
فرع 11 يونيو,AECU50633,سقطار لحوض المطبخ أسود85 سم,5.000
فرع 11 يونيو,AECU50762,سيفون حوض المطبخ رأس صغير,6.000
فرع 11 يونيو,AECU50830,سلة تجفيف لحوض المطبخ رصاصي,-5.000
فرع 11 يونيو,AECU50890,راجع سيفون حوض مطبخ,40.000
فرع 11 يونيو,AECU50891,راجع سيفون حوض مطبخ مربع,20.000
فرع 11 يونيو,AECU51048,سيفون حوض المطبخ راس كبير بالهواية,8.000
فرع 11 يونيو,AETS20004,تفلون 19 مم * 15 متر * 0.20 مم,28.000
فرع 11 يونيو,AETS20237,تفلون 19 مم * 30 متر * 0.8 مم,5.000
فرع 11 يونيو,ALVM50012,سيفون حوض الوجه ذهبي,-1.000
فرع 11 يونيو,ALVM50014,سيفون حوض الوجه كروم,5.000
فرع 11 يونيو,ALVM50015,سيفون حوض الوجه كروم,6.000
فرع 11 يونيو,ALVM50017,سيفون حوض الوجه طويل كروم,-2.000
فرع 11 يونيو,ALVM50018,رأس سيفوني اسود,7.000
فرع 11 يونيو,ALVM50019,رأس سيفوني كروم,4.000
فرع 11 يونيو,ALVM50020,رأس سيفوني حوض الوجه طويل أسود,3.000
فرع 11 يونيو,ALVM50021,رأس سيفوني حوض الوجه طويل ذهبي,2.000
فرع 11 يونيو,ALVM50022,رأس سيفوني حوض الوجه طويل ذهبي,5.000
فرع 11 يونيو,ALVM50023,رأس سيفوني كروم,11.000
فرع 11 يونيو,ALVM50024,سيفون حوض الوجه كروم,1.000
فرع 11 يونيو,ALVM50025,سيفون حوض الوجه كروم,1.000
فرع 11 يونيو,ALVM50027,سيفون حوض الوجه اسود,4.000
فرع 11 يونيو,ALVM50028,سيفون حوض الوجه ذهبي,3.000
فرع 11 يونيو,ALVM50029,سيفون حوض الوجه ذهبي,5.000
فرع 11 يونيو,ALVM50030,سيفون حوض الوجه كروم,11.000
فرع 11 يونيو,ALVM50031,سيفون حوض الوجه كروم,4.000
فرع 11 يونيو,ALVM50032,سيفون حوض الوجه كروم,14.000
فرع 11 يونيو,ALVM50033,سيفون حوض الوجه بلاستك كروم,1.000
فرع 11 يونيو,ALVM50034,سيفون حوض الوجه ذهبي,1.000
فرع 11 يونيو,ALVM50036,رأس سيفوني كروم,2.000
فرع 11 يونيو,ALVM50055,سيفون حوض الوجه طويل كروم,2.000
فرع 11 يونيو,ALVM50061,مطول سيفون حوض الوجه 30سم كروم,10.000
فرع 11 يونيو,ALVM50062,مطول سيفون حوض الوجه كروم,-2.000
فرع 11 يونيو,ALVM50090,سيفون حوض الوجه راس كروم متحرك,64.000
فرع 11 يونيو,ALVM50194,رأس سيفوني ذهبي,-1.000
فرع 11 يونيو,ALVM50201,سيفون حوض الوجه,11.000
فرع 11 يونيو,ALVM50203,رأس سيفوني رخامي,-1.000
فرع 11 يونيو,ALVM50206,سيفون حوض الوجه كلك,29.000
فرع 11 يونيو,ALVM50207,رأس سيفوني كروم,1.000
فرع 11 يونيو,ALVM50208,مولة عمود حوض الوجه,4.000
فرع 11 يونيو,ALVM50211,قرجوطة سيفون حوض الوجه 1.1/4*80 سم,-2.000
فرع 11 يونيو,ALVM50212,قرجوطة سيفون حوض الوجه 1.1/4*80 سم,-4.000
فرع 11 يونيو,ALVM50218,مثبت حوض الوجه,9.000
فرع 11 يونيو,ALVM50240,مثبت حوض الوجه,117.000
فرع 11 يونيو,ALVM50262,سيفون حوض الوجه كروم,1.000
فرع 11 يونيو,ALVM50288,رأس سيفوني كروم,4.000
فرع 11 يونيو,ALVM50299,سيفون حوض الوجه كروم,7.000
فرع 11 يونيو,ALVM50307,سيفون حوض الوجه كروم,19.000
فرع 11 يونيو,ALVM50309,سيفون حوض الوجه كروم بلستك,16.000
فرع 11 يونيو,ALVM50368,طابة حوض الوجه,-1.000
فرع 11 يونيو,ALVM50389,رأس سيفوني كروم,12.000
فرع 11 يونيو,ALVM50390,رأس سيفوني رخامي,1.000
فرع 11 يونيو,ALVM50392,رأس سيفوني رخامي,4.000
فرع 11 يونيو,ALVM50393,رأس سيفوني رخامي,2.000
فرع 11 يونيو,ALVM50394,رأس سيفوني رخامي,7.000
فرع 11 يونيو,ALVM50395,رأس سيفوني كروم,-1.000
فرع 11 يونيو,ALVM50397,رأس سيفوني رخامي,6.000
فرع 11 يونيو,ALVM50400,سيفون حوض الوجه 25سم 30سم كروم,1.000
فرع 11 يونيو,ALVM50402,سيفون حوض الوجه كروم,2.000
فرع 11 يونيو,ALVM50422,رأس سيفوني كروم,1.000
فرع 11 يونيو,ALVM50423,رأس سيفوني أسود,2.000
فرع 11 يونيو,ALVM50424,رأس سيفوني ذهبي,1.000
فرع 11 يونيو,ALVM50426,سيفون حوض الوجه اسود,5.000
فرع 11 يونيو,ALVM50427,سيفون حوض الوجه ذهبي,2.000
فرع 11 يونيو,ALVM50428,سيفون حوض الوجه كروم,7.000
فرع 11 يونيو,ALVM50430,رأس سيفوني رخامي,20.000
فرع 11 يونيو,ALVM50505,مطول سيفون حوض الوجه 40سم كروم,5.000
فرع 11 يونيو,ALVM50517,رأس سيفوني كروم,1.000
فرع 11 يونيو,ALVM50526,رأس سيفوني كروم,1.000
فرع 11 يونيو,ALVM50677,طابة حوض الوجه كروم,40.000
فرع 11 يونيو,ALVM50766,سيفون حوض الوجه اسود,9.000
فرع 11 يونيو,ALVM50767,سيفون حوض الوجه ذهبي,9.000
فرع 11 يونيو,ALVM50776,رأس سيفوني كروم,7.000
فرع 11 يونيو,ALVM50777,رأس سيفوني أسود,3.000
فرع 11 يونيو,ALVM50778,سيفون حوض الوجه كروم,5.000
فرع 11 يونيو,ALVM50785,رأس سيفوني كروم,3.000
فرع 11 يونيو,ALVM50790,رأس سيفوني رخامي,5.000
فرع 11 يونيو,ALVM50796,رأس سيفوني كروم,2.000
فرع 11 يونيو,ALVM50797,رأس سيفوني كروم,1.000
فرع 11 يونيو,ALVM50808,سيفون حوض الوجه كروم,11.000
فرع 11 يونيو,ALVM50809,سيفون حوض الوجه كروم,4.000
فرع 11 يونيو,ALVM50819,رأس سيفوني اسود,22.000
فرع 11 يونيو,ALVM50820,رأس سيفوني ذهبي,1.000
فرع 11 يونيو,ALVM50867,رأس سيفوني اسود,3.000
فرع 11 يونيو,ALVM50938,سيفون حوض الوجه بلاستك كروم,5.000
فرع 11 يونيو,ALVM51001,سيفون حوض الوجه كلك بمانع رائحة,1.000
فرع 11 يونيو,ALVM51033,سيفون حوض الوجه كلك بمانع رائحة,5.000
فرع 11 يونيو,ALVM51034,سيفون حوض الوجه كروم,5.000
فرع 11 يونيو,ALVM51037,رأس سيفوني ذهبي,5.000
فرع 11 يونيو,AM0002,دولاب حمام -80 سم,1.000
فرع 11 يونيو,AM0073,حوض وجه مع دولاب حمام -80 سم,2.000
فرع 11 يونيو,AM0077,حوض وجه مع دولاب حمام -80 سم,5.000
فرع 11 يونيو,AM0078,دولاب حمام -90 سم,-5.000
فرع 11 يونيو,AM0106,حوض وجه مع دولاب حمام -80 سم,1.000
فرع 11 يونيو,AM0111,حوض وجه مع دولاب حمام -80 سم,-2.000
فرع 11 يونيو,AM0112,حوض وجه مع دولاب حمام -80 سم,-5.000
فرع 11 يونيو,AM0117,دولاب حمام 100 سم أبيض,1.000
فرع 11 يونيو,AM0120,دولاب حمام 100 سم أبيض,1.000
فرع 11 يونيو,AM0135,دولاب حمام 100 سم أبيض,1.000
فرع 11 يونيو,AM0148,حوض وجه مع دولاب حمام مع خزانة مع مراية -100 سم,1.000
فرع 11 يونيو,AM0182,حوض وجه مع دولاب حمام -80 سم,1.000
فرع 11 يونيو,AM0183,حوض وجه مع دولاب حمام -80 سم,3.000
فرع 11 يونيو,AM0184,حوض وجه مع دولاب حمام -60 سم,-1.000
فرع 11 يونيو,AM0185,حوض وجه مع دولاب حمام -60 سم,1.000
فرع 11 يونيو,AM0358,دولاب حمام 80 سم أبيض,-1.000
فرع 11 يونيو,AM0359,حوض وجه  دولاب حمام -80 سم,-1.000
فرع 11 يونيو,AM0399,دولاب حمام 65 سم أبيض,4.000
فرع 11 يونيو,AM0405,دولاب حمام أرضي,1.000
فرع 11 يونيو,AM0407,حوض وجه مع دولاب حمام -80 سم,2.000
فرع 11 يونيو,AM0411,حوض وجه مع دولاب حمام -80 سم,1.000
فرع 11 يونيو,AM0416,حوض وجه مع دولاب حمام -80 سم,1.000
فرع 11 يونيو,AM0421,حوض وجه مع دولاب حمام -80 سم,1.000
