code,name,brand,model,category,supplier_id,purchase_price,retail_price,active,barcode,old_id
PE30169,"فرشة طلاء 1"" 25.4 مم",فندر,,فرشة طلاء,4db58ef5-0e02-ae07-fc14-5629c40b7689,2.000,5.000,t,,210003663
ARSB80823,مصب دوش بدون تحويلة كروم,شيزا,,مصب دوش,2e234c5a-ae37-77f1-3c02-d40e664e7d50,80.000,130.000,t,,210003304
MI10264,مراية تجميل مكبرة,سانيتاري ويرز,WL28WL23,مراية,9a9f39af-a0d0-6a64-969d-7baa03e28c4f,75.000,150.000,t,,210004684
ATWC50231,مثبت صندوق بتارية مقعد أرضي,HANA,ART-830-M8,ملحقات مقاعد,4db58ef5-0e02-ae07-fc14-5629c40b7689,3.450,4.875,t,,310003346
ARSB80302,شطاف ظغط مربع كبيرمع طوبو كروم,توريما,1372-03330-008,شطاف,3f8e1d44-c2e4-cecd-ff29-48dc418eba21,175.000,210.000,t,,210003039
ML30610,مرايا حمام مع إضاءة لد 60*50 سم,سانيتاري ويرز,1-3-40,مراية مضيئة,b254c840-e3dc-aa50-45cc-22c1a82f1d9d,120.000,200.000,t,,310003718
ARSB80716,شطاف ظغط مربع مع طوبو أسود,ليمكس,2778,شطاف,f592fa51-d431-40c9-f38d-39cdf4092eb2,95.000,150.000,t,,310003824
RA30359,ديسكو جرانيت 4.5'' 115 مم,فندر,195544,ديسكو منشار دائري,4db58ef5-0e02-ae07-fc14-5629c40b7689,12.200,20.000,t,,210003866
ARSB80198,مصب دوش مع تحويلة كروم,أنكا,ANKA ANK-1011,مصب دوش,f68c4a72-8eb2-7563-07ad-b344ff9fe960,78.000,120.000,t,,310002896
EL10237,حوض مطبخ ستانلس ستيل   304 50*50 كروم,أسيل,AS 14,حوض مطبخ ستانلس ستيل,e47ac07e-2763-bc83-6cf2-c39bb577a1f9,174.000,300.000,t,,210002956
ML30744,مرايا حمام مع إضاءة لد-عرض60*80 سم,ديولو,DE 022,مراية مضيئة,b254c840-e3dc-aa50-45cc-22c1a82f1d9d,81.000,150.000,t,,310003856
PE30296,لصقة مع مجفف 100 مل,كرفت,,المواد اللاصقة و العازلة,1feb71a5-1d49-b1e4-f571-cf039a9a809d,5.750,10.000,t,,210004669
AM0837,دولاب حمام بالملحق مع مرايا لد -80 سم,سانيتاري ويرز,9622,دولاب حمام,f68c4a72-8eb2-7563-07ad-b344ff9fe960,1075.000,1600.000,t,,310003958
ARSB80816,مخرج شطاف مع علاق أسود,مونتانا س.ل,MT-01B,مخرج شطاف,51882a69-3ac9-cde2-37e3-64e2b7daae96,99.000,160.000,t,,310003934
ML10805,خلاط حوض وجه ذهبي,بن أمور,B.AMOR0017,خلاط حوض وجه,f3749abe-ab61-138e-bb47-655f16ecc625,155.000,235.000,f,,310004355
SA10070,طقم اكسسوار,بيروتي,Gibson,طقم اكسسوارات,081276dc-6952-a613-dc62-614b51522ad0,36.000,120.000,t,,210003531
ARSB80073,شطاف ظغط دائري مع طوبو كروم,سانيتاري ويرز,,شطاف,0dafba13-51f2-fc5a-eab7-f16d55bcce40,45.000,90.000,t,,210002669
MTE60033,خلاط شطاف مدفون كروم,توريما,8V00011-092,خلاط شطاف مدفون,3f8e1d44-c2e4-cecd-ff29-48dc418eba21,165.000,250.500,t,,310002649
EL10166,حوض مطبخ ستانلس ستيل منظومة بيانو 304 75*45 كروم,TIEMME,,حوض مطبخ ستانلس ستيل,dc6e5eb0-a2c4-7fc8-161c-528f389f29cc,655.000,1000.000,t,,210004552
MC10087,مجرى 55سم *7 سم كروم,بيورا,DL-04-55,مجرى,f9f6d83d-5b9d-2d22-c42a-21b487031fad,257.000,320.000,t,,310003120
PE30102,ملعقة 20سم,اي بي سي,AC70002,ملعقة,4db58ef5-0e02-ae07-fc14-5629c40b7689,5.000,8.000,t,,210003568
ATWC50083,عوامة صندوق طرد,غروهي,3709500,ملحقات مقاعد,f68c4a72-8eb2-7563-07ad-b344ff9fe960,105.000,150.000,t,,210003544
