id,sale_id,product_code,product_name,qty,unit_price,line_discount,discount_text,line_total,unit_cost_at_sale,old_id
bd8ddb0f-e5b4-e8f3-a84e-dc9e180bce28,7a311e14-703e-b457-a66e-7c31262819de,PE30193,لصقة طلاء 45 مم,1,4.000,0.000,"",4.000,2.361,210015577
eb05e085-bad2-6c0c-e524-3c175bde35fc,99b47a29-7226-ad32-3876-f6f361ae1c85,PE30375,جبس العز 40كغ,1,22.000,0.000,"",22.000,16.000,210021096
e5dc82c4-a375-1318-42cc-49548093a9fa,834ef120-19dc-3e2b-bdde-8903249791a2,PA30046,كيس فارغ أبيض,5,1.000,0.000,"",5.000,0.850,210021099
2091cf6b-2cac-6631-93ba-11e686c896dc,a788f22c-8120-9957-2f58-7f6f58186e4d,ARSB80089,طوبو شطاف 120 سم كروم,2,34.000,0.000,"",68.000,34.000,210021100
bcd1ad4c-db00-4c0d-d682-913799df6f90,9ff1142e-b77a-f928-752b-85a9a0d5cab5,PA30542,مسمارخشب رقم 6 (100غ),1,5.000,0.000,"",5.000,2.150,210021340
58a16857-9cad-7577-e9cf-7e2b74bb860f,8a71ecc2-a213-152f-a51a-dae1e5bf3842,RO10329,حنفية 3/4,2,25.000,0.000,"",50.000,16.500,310013871
e75749a1-de46-fec8-d2bf-9b5a7296cb8e,837e0c28-a440-08f8-3e37-bad0964dca47,EL50114,برتولامبه بدون تامينه,1,2.000,0.000,"",2.000,1.250,210015588
b3e67868-627b-dd1b-343d-332ffd5a7754,b3d94cda-a1d6-f43a-ba0b-01bd95b264d2,MD20010,خلاط دوش كروم,1,260.000,0.000,"",260.000,170.000,310009476
4a77095a-513e-f134-ed54-823bfa1cfd0b,cd4c7a8e-7ba9-04d2-7c46-487b5f1148db,PE30499,فرشة طلاء ايطالية رقم60,1,24.000,0.000,"",24.000,11.500,210015602
45a183b4-4d21-b1be-f74c-a983d6e7157f,efe13741-1da9-8001-254e-c596ac8adfd1,PE30377,اسمنت ابيض 1كغ,5,2.000,0.000,"",10.000,0.880,210015628
e0b80dfe-b9b3-c279-2585-928a58e718ce,94a7b25d-77fb-0476-dc9e-87bb98910b0d,CC10365,كولة فواصل 032,1,42.000,0.000,"",42.000,36.000,210015643
fcea9292-56cb-015e-d196-88761fad2b58,e9c9a95b-342e-8046-f864-fcf21959f489,PA30606,ليفة تنضيف ألمنيوم,1,5.000,0.000,"",5.000,2.471,210015663
c30bd732-4420-68cd-24f0-631e1b9d9eca,f258261a-43e9-a2ae-86ad-f4aa40b51558,PS20687,علاقة مناشف كبيرة ثلاثية كروم,1,170.000,0.000,"",170.000,100.000,310013998
e76626f4-29a4-5db8-0a44-dab528f137b2,0e61e64c-3e47-56e0-af37-ec61c83c28e5,ME10926,خلاط حوض المطبخ شجرة مولة كروم,1,400.000,0.000,"",400.000,245.000,310014762
8a81482a-5a4a-e0ee-c3e0-80c383ebd01f,fb7dcf2d-979d-9864-a091-e56ea8e4cde5,CC10368,كولة فواصل 007,2,42.000,0.000,"",84.000,35.000,210021106
7c45f2a5-7649-d1fe-228e-4a9c752960fc,dbc54ffb-55f0-4a58-a2f2-b200df02e825,AECU50425,سيفون حوض المطبخ,1,40.000,0.000,"",40.000,17.500,210021107
5ca06e15-b6fd-a193-5aa8-8e252114dc31,9e7ece43-e285-dbb8-aebd-54678574b01e,PLSA0664,وردة كروم,10,15.000,0.000,"",150.000,9.000,310014765
5c3c7d11-00fa-c8fc-60c2-2a5ad6a2c470,dbb47e07-5c3c-7df8-b101-181a229116ef,ATWC50424,بتارية مقعد أرضي تحت,1,90.000,0.000,"",90.000,62.500,310014210
2318d33d-e300-8576-216c-a44eb48225e1,da930d3c-5763-19dc-2c63-7440375202cc,RA20019,"وصلة 32* 1"" سن داخلي",-6,18.000,0.000,"",-108.000,13.538,310009404
a33ce271-beed-f6d9-a76c-a536e2677d23,dbb47e07-5c3c-7df8-b101-181a229116ef,ATWC50218,بتارية مقعد أرضي ملحوم تحت 28 سم,1,40.000,0.000,"",40.000,18.500,310014211
d40ab754-fa9f-d9c9-13ea-c58f57665826,da930d3c-5763-19dc-2c63-7440375202cc,RA20007,"كوع 32"" لحام",-7,2.500,0.000,"",-17.500,1.321,310009402
0a38ac90-05d0-6bd1-f7f5-3622119a4c7e,da930d3c-5763-19dc-2c63-7440375202cc,ATWC50167,وصلة بتارية مدفونة 35 سم,-1,70.000,0.000,"",-70.000,23.500,310009399
0e395db4-f930-94db-3859-c38807be30ad,dbb47e07-5c3c-7df8-b101-181a229116ef,ME10683,خلاط حوض المطبخ شجرة كروم,1,150.000,0.000,"",150.000,72.000,310014213
b021089a-8cf7-e64e-30f1-128fae89fa63,73664ff1-f0aa-6bbd-9801-dab9345bc942,AASB30764,رف زاوية زوجي كروم,1,150.000,0.000,"",150.000,88.000,310014408
864b23a7-bd63-c6e2-7c1e-c7eae387c646,3203cfb4-9857-d880-b0e3-ae17fb107f92,ML10783,خلاط حوض وجه كروم,1,190.000,0.000,"",190.000,105.000,310014023
17c456b9-d175-b9a3-d58e-c96bf160e7eb,d2dd9a5b-7126-217e-6d75-1489ee7f0f92,ML30789,مرايا حمام ضد البخار مع إضاءة لد 60*80 سم,1,180.000,0.000,"",180.000,105.000,310014747
5e49c973-ae45-7371-9a26-48999720d557,d2dd9a5b-7126-217e-6d75-1489ee7f0f92,AM0802,دولاب حمام -80 سم,1,1220.000,0.000,"",1220.000,400.000,310014795
0f6dcac4-f6a3-1d28-9e75-c4851e8af248,3022865f-7a08-d7ba-18c1-13f2e73462f1,ML10752,خلاط حوض وجه اسود,1,180.000,0.000,"",180.000,105.000,210021585
7c465026-8cb8-2957-a051-ed87f5e03eab,441dad51-a22b-ba57-7c94-8917cbb1d14f,MC10641,مجرى 30سم *3 سم كروم,1,150.000,0.000,"",150.000,80.000,310013737
23ab964f-6564-54f9-7ec7-7a2d53cc7f5e,0d5a457a-a0f9-14b6-651e-c795b2f6ef8c,AM0821,حوض وجه مع دولاب حمام مع مراية -100 سم,1,1730.000,0.000,"",1730.000,1350.000,310015438
57572522-2721-032e-5191-25f2806530aa,32580752-7c32-59f2-32db-697f3bb97e2f,ML30864,مرايا حمام مع إضاءة لد 80*80 سم,1,180.000,0.000,"",180.000,95.000,310014931
cc251125-5798-4b72-3141-33b405a5d2c8,32580752-7c32-59f2-32db-697f3bb97e2f,ML30789,مرايا حمام ضد البخار مع إضاءة لد 60*80 سم,1,170.000,0.000,"",170.000,105.000,310014932
5ff866bf-3072-9c41-1e15-e3ac9fb7c98c,ed0edff4-6f1e-bc45-4fd3-4cc17432afbd,PE30187,لصقة مع مجفف 200 مل,1,15.000,0.000,"",15.000,11.500,210022270
259f27f2-f25f-b337-7b53-b6e30c2d9bff,ed0edff4-6f1e-bc45-4fd3-4cc17432afbd,PE30067,طلاء بخاخ داخلي و خارجي أسود لامع,1,10.000,0.000,"",10.000,4.833,210022269
866efd22-637a-8813-0604-31bc2e8cfee1,5351b57a-be16-d56c-6387-b848f28f75b3,ML10790,خلاط حوض وجه أسود,1,480.000,0.000,"",480.000,230.000,210022274
4edb9e7f-5297-0d25-9020-a61ec17f1c02,5351b57a-be16-d56c-6387-b848f28f75b3,WP20587,مقعد أرضي ملحوم أسود,1,900.000,0.000,"",900.000,615.000,210022273
426f0bb2-f4dc-79de-bd73-560eced0ba11,5351b57a-be16-d56c-6387-b848f28f75b3,MT30630,خلاط شطاف مع شطاف 15 سم أسود,1,280.000,0.000,"",280.000,115.000,210022272
f533b305-55a5-7f30-a2c1-9f416db27f4b,5351b57a-be16-d56c-6387-b848f28f75b3,LG40390,حوض وجه برسلين مع رف 65 سم,1,600.000,0.000,"",600.000,460.000,210022271
21ea5660-2e20-3221-be51-fe96b7c3f779,d53d16fc-4aad-ee89-5077-447287080d30,RA30535,ديسكو سريع4.5 بوصة حديد,1,8.000,0.000,"",8.000,2.450,210022275
7c6490ef-22e0-fc77-536b-95b6cca9cd19,531d757a-3d3b-0e03-23c2-23d1d2ddb46c,SI10502,سلكون  280 غرام أبيض المير,1,15.000,0.000,"",15.000,7.500,210022276
58cfb4e6-2b96-1b9a-4128-34b54219a0b0,32800b9a-7549-4dcf-7d9b-1efb2bc621ed,PS20923,علاقة ملابس رباعية,1,60.000,0.000,"",60.000,35.000,310014317
01a7286f-389c-ca06-b1ab-b12ba1776b71,56b72a3a-7ae9-9bc4-14d7-9c2d7d163aea,P30268,عوامة كهربائية 1 متر,1,65.000,0.000,"",65.000,53.755,210022267
a4440ffc-ff08-51b6-6290-192c29c24f95,760bc7bc-4d61-c705-406e-2e37a8aabae1,WP20477,مقعد أرضي ملحوم مربع قصير أبيض,2,1150.000,0.000,"",2300.000,660.040,210022268
94083342-30aa-921d-d6eb-a0426fbcff02,54f4b016-a880-1baa-8a6a-77fa1e0ef23d,ARSB80825,كسكاس دوش دائري شريحه 250 مم مع قصبة كروم,4,390.000,0.000,"",1560.000,285.000,310012405
1aa16a0f-e58c-3e4a-844b-2813726d41c3,54f4b016-a880-1baa-8a6a-77fa1e0ef23d,ML30743,مرايا حمام مع إضاءة لد-عرض 60*90 سم,1,180.000,0.000,"",180.000,120.000,310012414
fa0e2b86-406c-8c1e-cced-c5c10c088288,54f4b016-a880-1baa-8a6a-77fa1e0ef23d,ML30520,مرايا حمام مع إضاءة لد 100*70 سم,1,190.000,0.000,"",190.000,110.000,310012415
d7fdb8e5-b3ee-4c27-0d48-1a189ff6f378,54f4b016-a880-1baa-8a6a-77fa1e0ef23d,ML30740,مرايا حمام مع إضاءة لد-طول 80*60 سم,1,165.000,0.000,"",165.000,81.000,310012416
c69b4cdb-0db9-efa5-03c7-96d9062ba42b,54f4b016-a880-1baa-8a6a-77fa1e0ef23d,ML30793,مرايا حمام ضد البخار مع إضاءة لد 70*50 سم,1,165.000,0.000,"",165.000,100.000,310013357
15c3e1e7-0a0d-b12c-ebc8-c33e873f72cb,5ce43526-7a56-25b4-2b31-ecd662ee9641,WP20166,مقعد أرضي ملحوم بيضوي أبيض,1,1000.000,0.000,"",1000.000,575.113,310013557
9ec94572-c8de-9207-29da-68b795dc0c8b,92fdfbef-6db2-e6d3-f8e0-60216c5a7c7a,CE10007,سخانة 80 لتر,1,480.000,0.000,"",480.000,495.000,310013558
c1cdae8d-f2be-31bc-1203-22e7b6c4d99d,5e060807-3085-e4cd-5a0d-195f7257dfea,ALVM50677,طابة حوض الوجه كروم,1,25.000,0.000,"",25.000,10.000,310013559
8c31eebc-89b4-a9b3-ff01-e73e308f0e2b,dc991966-f6a2-2eec-d0d3-b9400f591669,WP20157,مقعد أرضي ملحوم موطو أبيض,1,580.000,0.000,"",580.000,423.009,310013361
