code,name,old_stock_table,from_movements,diff
ARSB80718,مخرج شطاف مربع بالعلاقة كروم,1,7.000,6.000
ARSB80781,شطاف ظغط مربع كبيرمع طوبو كروم,8,14.000,6.000
ARSB80236,طوبو دوش 150سم كروم,7,13.000,6.000
VS10205,حوض وجه معلق رصاصي -60سم,4,10.000,6.000
ARSB80269,شطاف ظغط مجرح مع طوبو كروم,4,-2.000,-6.000
ML10299,خلاط حوض وجه  كروم,0,6.000,6.000
ML30088,مرايا حمام مع إضاءة لد 50*70 سم,0,6.000,6.000
ARSB80078,شطاف ظغط مربع مع طوبو أسود,5,11.000,6.000
ARSB80988,كسكاس دوش دائري 250 مم كروم,4,10.000,6.000
CD40097,مسطرة دوش زوجية كروم,15,21.000,6.000
WP20157,مقعد أرضي ملحوم موطو أبيض,1,7.000,6.000
PLSA0286,وردة أسود,0,-6.000,-6.000
PE30989,طلاء مائي داخلي 10 كغ أبيض ربع لمعه ,0,6.000,6.000
MC10269,مجرى 33 سم *7 سم كروم,5,11.000,6.000
ATWC50314,صندوق طرد مدفون بتارية مع زر مربع 9 لتر,2,7.000,5.000
PLSA0443,مطول 1/2*50 مم كروم,13,18.000,5.000
AB10113,خزانة حمام أبيض ,-3,-8.000,-5.000
MC10652,سرفنتينة 15 سم * 15 سم كروم ,184,179.000,-5.000
MD20060,خلاط دوش مع سماعة كروم,4,9.000,5.000
ATWC50167,وصلة بتارية مدفونة 35 سم,15,20.000,5.000
FAB0178,طلاء وجه مسكر بي بي ار,-1,-6.000,-5.000
ML10504,خلاط حوض وجه  كروم,0,5.000,5.000
MT30794,خلاط شطاف كروم ,4,9.000,5.000
MD20026,خلاط دوش كروم,3,8.000,5.000
CE10264,سخانة 50 لتر,2,7.000,5.000
PSB10826,حوض وجه مع دولاب حمام مع مراية مضيئة -80 سم ,0,5.000,5.000
AM0112,حوض وجه مع دولاب حمام -80 سم,-3,-8.000,-5.000
ARSB80170,سماعة دوش مع طوبو كروم,1,6.000,5.000
RO10294,حنفية غسالة  ''1/2 * ''3/4 كروم,24,19.000,-5.000
AM40825,مراية دولاب حمام لد -80 سم ,0,5.000,5.000
AASB30084,مقبض قابل للطي مضاد للانزلاق لكبار السن,1,6.000,5.000
VS10823,حوض وجه معلق 80 سم,0,5.000,5.000
LG40191, حوض وجه برسلين مع رف 100 سم,0,-5.000,-5.000
MTE60033,خلاط شطاف مدفون كروم ,2,7.000,5.000
AM0184,حوض وجه مع دولاب حمام -60 سم,0,-5.000,-5.000
AASB30198,صابون سائل,10,15.000,5.000
ML30079,مرايا حمام مع إضاءة لد 90*60 سم,-3,-8.000,-5.000
VS10883,عمود حوض وجه أرضي أبيض ,4,9.000,5.000
AASB30059,حاملة فرشاة أسنان كروم,1,6.000,5.000
EL10040,حوض مطبخ ستانلس ستيل   304 76*45 سم كروم,8,13.000,5.000
ALVM50014,سيفون حوض الوجه كروم,0,5.000,5.000
WP20477,مقعد أرضي ملحوم مربع قصير أبيض,7,12.000,5.000
AB10826,خزانة حمام 80*24*12,0,5.000,5.000
ML10059,خلاط حوض وجه  15 سم كروم ,4,9.000,5.000
EL50796,برتولامبه بدون تامينه ,1,6.000,5.000
AM0824,دولاب حمام 80 سم أبيض,0,5.000,5.000
AM0078, دولاب حمام -90 سم,-2,-7.000,-5.000
ARSB80337,مصب دوش مع تحويلة كروم,8,13.000,5.000
ARSB80813,مصب دوش قصير بتحويلة كروم,13,18.000,5.000
CC10308,كولة حائط 20 كغ,38,33.000,-5.000
ART0030,قصبة دوش مربعة 45 سم كروم,1,6.000,5.000
LG40193, حوض وجه برسلين مشطوف مع رف 80 سم ,0,-5.000,-5.000
EG30811,حوض مطبخ جرانيت أبيض   80*50 ,6,11.000,5.000
MDE50822,خلاط دوش مدفون ايدج ذهبي ,3,8.000,5.000
ARSB80041,شطاف ظغط مربع مع طوبو كروم,0,5.000,5.000
AETS20237,تفلون 19 مم * 30 متر * 0.8 مم,5,10.000,5.000
ML30114,مرايا حمام مع إضاءة لد 80*60 سم,-3,-8.000,-5.000
ML30788,مرايا حمام ضد البخار مع إضاءة لد 60*80 سم,1,6.000,5.000
VS10191,حوض وجه معلق -80 سم,5,10.000,5.000
MA20116,خلاط حوض المطبخ سحاب ذهبي,0,5.000,5.000
MT30025,خلاط شطاف مع شطاف كروم ,1,5.000,4.000
ALVM50809,سيفون حوض الوجه كروم,1,5.000,4.000
ARSB80380,كسكاس دوش مربع 250*250 مم مع قصبة ذهبي,6,10.000,4.000
PD20126,حاجز دوش 8 مم  مربعات80  سم,0,-4.000,-4.000
VS10400,حوض وجه معلق 65 سم,0,4.000,4.000
ML10003,خلاط حوض وجه أسود,3,7.000,4.000
ARSB80658,شطاف ظغط مربع مع طوبو أسود,7,3.000,-4.000
ML10054,خلاط حوض وجه دائري أسود,7,11.000,4.000
PLSA0239,"وصلة مخفض خلاط دوش ""3/8 ذكر × ""1/2 انثى كروم",0,4.000,4.000
AECU50556,سيفون حوض المطبخ,0,4.000,4.000
VS10209,حوض وجه معلق أبيض -60سم,16,20.000,4.000
ARSB80052,كسكاس دوش مربع 250*250 مم مع قصبة أسود,0,4.000,4.000
SA10649,طقم اكسسوار كروم,1,5.000,4.000
ART0226,سرفنتينة 15 سم * 15 سم كروم ,-5,-9.000,-4.000
PD20041,حاجز دوش 8 مم  مظلم80  سم,1,-3.000,-4.000
ARSB80281,كسكاس دوش مربع 200*200 مم مع قصبة ذهبي,9,13.000,4.000
PA30057,متر 5م,4,8.000,4.000
SI10175,سلكون  280 غرام أبيض,0,-4.000,-4.000
ARSB0824,كسكاس دوش دائري 25سم مع قصبة كروم,1,-3.000,-4.000
ARSB80125,مخرج شطاف كروم,10,14.000,4.000
AETS20004,تفلون 19 مم * 15 متر * 0.20 مم,41,37.000,-4.000
PLSA0002,وردة كروم,2,6.000,4.000
ARSB80379,رشاش دوش مربع كروم,26,30.000,4.000
ARSB80069,مصب دوش بدون تحويلة كروم,4,8.000,4.000
VS10207,حوض وجه معلق أسود -60سم,6,10.000,4.000
MT30243,خلاط شطاف كروم ,7,11.000,4.000
ARSB80963,سماعة دوش مع طوبو كروم,1,-3.000,-4.000
PD20442,حاجز دوش 10مم اطار كروم منقط 90 سم,1,5.000,4.000
ALVM50020,رأس سيفوني حوض الوجه طويل أسود,0,4.000,4.000
PD20043,حاجز دوش 8 مم  مظلم 100  سم,3,-1.000,-4.000
AM0399,دولاب حمام 65 سم أبيض,0,4.000,4.000
EL10241,حوض مطبخ ستانلس ستيل نص منظومة  304 75*45 أسود,6,10.000,4.000
AM40401,مراية دولاب حمام-80 سم ,0,4.000,4.000
ARSB80145,شطاف ظغط مربع مع طوبو مع مخرج شطاف أسود,0,4.000,4.000
AASB30010,صابونية كروم,1,5.000,4.000
RA30003, طوبو3'' 6 متر,11,15.000,4.000
ARSB80290,"مسكر شطافة ""1/2"" * ""1/2 اسود ",0,4.000,4.000
EL10242,حوض مطبخ ستانلس ستيل منظومة بيانو 304 75*46 أسود,-1,3.000,4.000
VP20786,حوض وجه فوق الرخام أبيض ,4,8.000,4.000
ALVM50031,سيفون حوض الوجه كروم,0,4.000,4.000
PD20042,حاجز دوش 8 مم  مظلم 90  سم,1,-3.000,-4.000
MTE60038,خلاط شطاف مدفون كروم ,2,6.000,4.000
PLSA0229,وردة كروم,2,6.000,4.000
WP20588,مقعد أرضي ملحوم أبيض,1,5.000,4.000
ARSB80029,سماعة دوش مع طوبو كروم,2,6.000,4.000
ALVM50022,رأس سيفوني حوض الوجه طويل ذهبي,1,5.000,4.000
ALVM50018,رأس سيفوني اسود,3,7.000,4.000
ME10021,خلاط حوض المطبخ شجرة كروم,4,8.000,4.000
PS20319,علاقة مناشف كروم,1,-3.000,-4.000
RA30002,طوبو1.5'' 6 متر,8,12.000,4.000
FAB0559,تصنيع حوض مع قاعدة برسلين,-2,-5.000,-3.000
ARSB80152,شطاف ظغط دائري مع طوبو كروم,3,6.000,3.000
AASB30155,حاملة فرشاة أسنان كروم,0,3.000,3.000
WP20156,مقعد أرضي ملحوم تورىيدو أبيض,0,-3.000,-3.000
AECU50203,سيفون حوض المطبخ,-1,-4.000,-3.000
MA20615,خلاط حوض المطبخ سحاب أسود,2,-1.000,-3.000
CE10104,سخانة 50 لتر,2,5.000,3.000
ML10079,خلاط حوض وجه ذهبي,0,3.000,3.000
SI10507,سلكون 260 غرام شفاف,0,3.000,3.000
VS10458,حوض وجه معلق 85 سم,0,3.000,3.000
PS20039,علاقة مناشف كروم,8,11.000,3.000
LG40198, حوض وجه برسلين مشطوف مع رف 80 سم ,0,-3.000,-3.000
PLSA0237,وردة كروم1/2,46,49.000,3.000
ARSB80287,مخرج شطاف مع علاق كروم,0,3.000,3.000
