id,proforma_id,product_code,product_name,qty,unit_price,line_total
6561245d-6b89-5858-ac18-e3df79d0a957,223ea701-4eda-ecd2-c3b8-429bd7fcd6c9,RA20024,"مثلث 25* 1/2"" سن داخلي",7,8.000,56.000
9954b98f-3dbf-7c95-43f0-e7cd364a3496,373c83a5-c16a-cb61-fa89-78cc2da8a80b,MA20115,خلاط حوض المطبخ سحاب أسود,1,300.000,300.000
e0cf5229-b5f6-6035-04aa-add2c4b8c2c0,373c83a5-c16a-cb61-fa89-78cc2da8a80b,MA20122,خلاط حوض المطبخ سحاب كروم,1,450.000,450.000
5554feee-c69a-a404-245e-bb06c46e47a9,373c83a5-c16a-cb61-fa89-78cc2da8a80b,MA20120,خلاط حوض المطبخ سحاب أسود,1,450.000,450.000
2f75e321-a58e-32f0-5288-f292dbf4cb3e,ce08ee5c-bd75-2f6e-9acf-e81230439172,AECU50199,سيفون حوض المطبخ,1,50.000,50.000
5c09e742-cee7-4e38-ba22-a8e024c49663,87a1c713-bc79-3405-d19c-6e2031c5f984,ARSB80100,مصب دوش مع تحويلة أسود,1,110.000,110.000
5d51c452-e278-de48-2b4c-8ac50ede2c9f,87a1c713-bc79-3405-d19c-6e2031c5f984,P30111,بدل كورة,1,130.000,130.000
4dac3684-f853-1ce7-edda-26e26e212b88,3754219d-15ff-84ba-4c85-29d7ae5e70a1,ARSB80316,مخرج شطاف مع علاق كروم,1,50.000,50.000
c4035af9-c10f-a545-9465-e1a578518283,3754219d-15ff-84ba-4c85-29d7ae5e70a1,RO10287,مسكر زاوية  ''1/2 * ''1/2 كروم,1,31.000,31.000
07dabd12-6a88-a99e-45d7-692d3264fd50,3754219d-15ff-84ba-4c85-29d7ae5e70a1,ML10026,خلاط حوض وجه  15 سم أسود,2,300.000,600.000
fc0bdf86-7002-ba5a-22e7-8b7cea546b30,90cb4cc1-e32f-4570-9adc-40e677d75358,MTE60050,خلاط شطاف مدفون كروم,3,320.000,960.000
0816215c-c6cd-85fe-a69e-5c1e3875a366,90cb4cc1-e32f-4570-9adc-40e677d75358,ARSB80012,كسكاس دوش مربع 250*250 مم كروم,3,230.000,690.000
a074d69e-f0c8-2b8c-6c2f-77c06532ec03,90cb4cc1-e32f-4570-9adc-40e677d75358,ARSB80106,مصب دوش قصير بدون تحويلة كروم,1,250.000,250.000
eab434b1-ff03-98aa-2ee3-8d02397d56fa,90cb4cc1-e32f-4570-9adc-40e677d75358,ML30280,مرايا حمام مع إضاء لد 80*60 سم,1,120.000,120.000
471d23a7-1914-8fa8-36f2-b0c14a51f5c7,373c83a5-c16a-cb61-fa89-78cc2da8a80b,MA20124,خلاط حوض المطبخ سحاب أسود,1,400.000,400.000
cfe7b356-47d1-25f7-6f62-4fc72b7fb465,223ea701-4eda-ecd2-c3b8-429bd7fcd6c9,RA20015,"وصلة 25* 1/2"" سن خارجي",13,7.500,97.500
d7a16d74-e229-e4b5-ac92-0d2b86ae7549,90cb4cc1-e32f-4570-9adc-40e677d75358,ARSB80105,مصب دوش مع تحويلة كروم,2,450.000,900.000
fd67310a-adab-d8f2-7bff-457879839b02,90cb4cc1-e32f-4570-9adc-40e677d75358,ARSB80298,سماعة دوش مع طوبو كروم,2,240.000,480.000
9ae1248b-119a-615c-9b85-b784730fdd90,90cb4cc1-e32f-4570-9adc-40e677d75358,ARSB80175,مخرج شطاف مع علاق كروم,3,200.000,600.000
c894eca9-debf-15ff-3667-78c0ee2ecebb,90cb4cc1-e32f-4570-9adc-40e677d75358,ARSB80112,قصبة دوش مربعة 43 سم كروم,3,70.000,210.000
e599f622-c02b-11ba-8120-69f9633170ff,90cb4cc1-e32f-4570-9adc-40e677d75358,ML10001,خلاط حوض وجه كروم,3,500.000,1500.000
64f58df3-bb33-3c9d-95c9-53e3e51ebec4,90cb4cc1-e32f-4570-9adc-40e677d75358,WP20156,مقعد أرضي ملحوم تورىيدو أبيض,1,750.000,750.000
d27a7967-8acd-9722-f979-3c5f8c4ae491,90cb4cc1-e32f-4570-9adc-40e677d75358,WP20161,مقعد أرضي ملحوم رصاصي رخامي,1,870.000,870.000
bb270293-66ca-b0e0-9f0f-9c82310a3c98,90cb4cc1-e32f-4570-9adc-40e677d75358,WP20158,مقعد أرضي ملحوم طويل أبيض,1,650.000,650.000
4428f836-ce05-4af8-9538-8a97c9247241,90cb4cc1-e32f-4570-9adc-40e677d75358,LG40371,حوض وجه برسلين مشطوف مع رف 80 سم,1,750.000,750.000
2be335a8-59b5-e450-0f69-ec4e0d628825,90cb4cc1-e32f-4570-9adc-40e677d75358,ART0226,سرفنتينة 15 سم * 15 سم كروم,4,85.000,340.000
17f9a329-b5a4-bd81-3af0-3765b9dc2ddd,90cb4cc1-e32f-4570-9adc-40e677d75358,PD20437,حاجز دوش 10 مم اطار كروم منقط 80 سم,1,575.000,575.000
d7d83e4a-e123-61d4-cccb-37db39844481,90cb4cc1-e32f-4570-9adc-40e677d75358,MI10050,مراية تجميل مكبرة,1,350.000,350.000
ff71f1e3-692f-1c84-cf09-be654cb36d3e,90cb4cc1-e32f-4570-9adc-40e677d75358,ALVM50405,سيفوني كروم,1,100.000,100.000
c9103d71-acf5-070e-d16d-19139ddb4c76,223ea701-4eda-ecd2-c3b8-429bd7fcd6c9,RA20017,"وصلة 25* 3/4"" سن خارجي",2,8.500,17.000
