Code article,Désignation,Marque,Modèle,Detail - القطاعي - LYD - Lybia,P.A HT
RD30581,حوض قدم مستطيل اكريليك 120*80*14,ساناكريل,M309,900.0,700.0
AM0695,دولاب مع حوض وجه مع مراية حمام 80 سم,بن أمور,203-80,1300.0,800.0
ATWC50388,وصلة بتارية مدفونة 22 سم,سانيتاري ويرز,,75.0,21.5
ART0764,مصب دوش بالتحويلة كروم انحاس,ليسو,11-079,150.0,75.0
AASB30779,حاملة فرشاة أسنان أسود,بن أمور,50-10-49,60.0,20.0
FAB1064,تصنيع حوض مع قاعدة برسلين,الشركة العالمية للتصدير و الإستيراد,,3000.0,2500.0
AECU50097,سيفون حوض المطبخ معا راجع,سي أر سمارت,,40.0,19.5
VS10140,حوض وجه معلق -90 سم,سانيتاري واير,9211,560.0,300.0
PD20783,حاجز دوش 10مم اطار كروم مضبب 70 سم,سانيتاري ويرز,LUE70,850.0,565.0
LG40147,حوض وجه برسلين 100 سم,سانيتاري ويرز,2715,650.0,400.0
EG40149,رف حوض وجه برسلين 100 سم,سانيتاري ويرز,2715,300.0,125.0
LG40368,حوض وجه برسلين مشطوف 80 سم,سانيتاري ويرز,2711,600.0,400.0
EG40373,رف حوض وجه برسلين 80 سم,سانيتاري ويرز,2711,350.0,185.0
ML30374,مرايا حمام مع إضاءة لد مع اطار أسود 80*60 سم,سانيتاري ويرز,1440,210.0,145.0
AM0106,حوض وجه مع دولاب حمام -80 سم,سانيتاري ويرز,5027,1000.0,600.0
AB10107,خزانة حمام أبيض,سانيتاري ويرز,5027,400.0,255.0
ML30108,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,5027,250.0,100.0
VP20119,حوض وجه فوق الرخام 100 سم أبيض,سانيتاري ويرز,9135,600.0,350.0
AM0120,دولاب حمام 100 سم أبيض,سانيتاري ويرز,9135,1000.0,700.0
ML30121,مرايا حمام مع إضاءة لد 90 سم,سانيتاري ويرز,9135,350.0,240.0
EL10432,حوض مطبخ ستانلس ستيل 304 50 * 45 سم,أسيل,AS3466,550.0,385.0
PD20920,حاجز دوش 8 مم مضبب60 سم,سانيتاري ويرز,PF40-16,540.0,360.0
EL10770,حوض مطبخ ستانلس ستيل 304 78*43,سانيتاري ويرز,,260.0,175.0
ML10004,خلاط حوض وجه كروم,توريما,EDGE 8E33011-093,470.0,305.0
ME10010,خلاط حوض المطبخ شجرة كروم,توريما,THEOS 9253411-040,340.0,225.0
ARSB80012,كسكاس دوش مربع 250*250 مم كروم,توريما,0149511-T40,200.0,125.0
ARSB80013,كسكاس دوش مربع 250*250 مم كروم,توريما,IH056CRSC,200.0,125.0
ML10020,خلاط حوض وجه كروم,فينوس,PEARL,170.0,147.233
ML10022,خلاط حوض وجه شلال طويل كروم,سانيتاري واير,XSDD012458,340.0,163.0
ML10024,خلاط حوض وجه 15 سم كروم,شيزا,TULIP,260.0,185.0
ML10025,خلاط حوض وجه 20 سم كروم,شيزا,NOVA,280.0,185.0
ML10027,خلاط حوض وجه 15 سم كروم,شيزا,STORM,230.0,135.0
ML10028,خلاط حوض وجه كروم,فينوس,CALVIN B2,330.0,213.0
ML10030,خلاط حوض وجه طويل 17 سم كروم,رايمر,EY12A,540.0,390.0
ML10031,خلاط حوض وجه طويل كروم,يولي,,150.0,85.0
ML10032,خلاط حوض وجه شلال قصير كروم,سانيتاري واير,8879-5,150.0,95.0
ML10034,خلاط حوض وجه شلال طويل ذهبي,سانيتاري واير,XSDD014549,380.0,163.0
ML10040,خلاط حوض وجه كروم,فيرونا,VE75410,120.0,68.0
ML10042,خلاط حوض وجه طويل مربع كروم,نيو !,7-8,170.0,110.0
ML10044,خلاط حوض وجه طويل كروم,سانيتاري ويرز,,230.0,135.0
ML10047,خلاط حوض وجه كروم,ب س,PLS-61-F,130.0,88.0
ML10048,خلاط حوض وجه كروم,هيادياو,HD-5116,190.0,125.0
ML10049,خلاط حوض وجه كروم,هيادياو,HD-5114A,330.0,218.0
ML10050,خلاط حوض وجه ذهبي,فيرمر,YLN18558-1G,170.0,105.0
ML10051,خلاط حوض وجه أسود,فيرمر,YLN18560-1H,150.0,105.0
ML10055,خلاط حوض وجه مضيء كروم,ليفرنو هوم,,210.0,115.0
MD20006,خلاط دوش أسود,شيزا,NOVA,410.0,265.0
MD20009,خلاط دوش كروم,شيزا,STORM,240.0,150.0
MD20010,خلاط دوش كروم,شيزا,NOVA,260.0,280.0
MD20012,خلاط دوش مع سماعة كروم,سانيتاري ويرز,,130.0,80.0
MD20057,خلاط دوش مع سماعة كروم,أيولي,STILE,330.0,210.0
MD20058,خلاط دوش مع سماعة كروم,فرامو,HO202CR,450.0,325.0
MT30063,خلاط شطاف مع شطاف كروم,شيزا,STORM,210.0,105.0
MT30066,خلاط شطاف كروم,توريما,8G25211-043,300.0,155.0
MT30068,خلاط شطاف مع شطاف دائري كروم,بريمكس,2066,290.0,175.0
ARSB80071,شطاف ظغط مع طوبو كروم,فينوس,AHF02,115.0,73.0
ARSB80073,شطاف ظغط دائري مع طوبو كروم,سانيتاري ويرز,,90.0,45.0
ARSB80076,شطاف ظغط دائري مع طوبو كروم,مونتانا س.ل,MT-3101,45.0,32.25
ARSB80080,شطاف ظغط دائري مع طوبو كروم,فينوس,AHF14,85.0,43.0
ARSB80084,شطاف ظغط دائري بلاستك مع طوبو أَبْيَض,فينوس,AHF10,50.0,24.0
ARSB80086,شطاف ظغط دائري مع طوبو أسود,توريما,,330.0,150.0
ARSB80087,شطاف ظغط مربع مع طوبو كروم,توريما,1372-03330-026,180.0,115.0
ARSB80088,شطاف ظغط دائري مع طوبو كروم,توريما,,110.0,31.0
CD40095,مسطرة دوش زوجية كروم,فينوس,,290.0,189.0
CD40096,مسطرة دوش زوجية كروم,ميتا فورم,PERFECT H28,215.0,143.0
CD40098,مسطرة دوش زوجية مربعة كروم,سانيتاري ويرز,,520.0,345.0
CD40102,مسطرة دوش زوجية كروم,فينوس,3227,350.0,255.0
CD40103,مسطرة دوش زوجية كروم,فينوس,3229,295.0,195.0
CD40104,مسطرة دوش زوجية كروم,فينوس,,350.0,255.0
CD40106,مسطرة دوش زوجية كروم,باست,,150.0,92.0
CD40107,مسطرة دوش زوجية كروم,ازورا ربنتري,,120.0,92.0
CD40108,مسطرة دوش زوجية كروم,باست,,150.0,86.0
CD40112,مسطرة دوش زوجية مع خلاط دجتل كروم,يولي,,400.0,255.0
CD40113,مسطرة دوش لاد مع خلاط كروم,ا بي ام انترناشونال,,570.0,425.0
MA20115,خلاط حوض المطبخ سحاب أسود,سانيتاري ويرز,XSDD010255,300.0,138.0
MA20116,خلاط حوض المطبخ سحاب ذهبي,سانيتاري ويرز,,450.0,237.0
MA20117,خلاط حوض المطبخ دبل سحاب أسود,سانيتاري ويرز,BO1130-3BN-1S,450.0,213.0
MA20119,خلاط حوض المطبخ سحاب رَمَادِي,سانيتاري ويرز,,450.0,213.0
MA20123,خلاط حوض المطبخ سحاب مع حساس اوتوماتيكي أسود,سانيتاري ويرز,CP969-33B-1P-SS-DE,350.0,163.0
MA20124,خلاط حوض المطبخ سحاب أسود,بريمكس,5152H,400.0,213.0
MA20125,خلاط حوض المطبخ سحاب كروم,بريمكس,6214D,300.0,213.0
MA20126,خلاط حوض المطبخ سحاب كروم,بريمكس,6174D,280.0,213.0
MA20128,خلاط حوض المطبخ سحاب كروم,بريمكس,6144,400.0,265.0
MA20129,خلاط حوض المطبخ سحاب كروم,بريمكس,11067B,330.0,210.0
ME10008,خلاط حوض المطبخ شجرة كروم,نوبلي,BS1011034CR,360.0,235.0
MA20009,خلاط حوض المطبخ سحاب كروم,شهاب,BERMOODA AS-351487504,570.0,380.0
MM30011,خلاط حوض المطبخ حائطي كروم,اعتماد,MEGA 546,200.0,130.0
ME10013,خلاط حوض المطبخ شجرة كروم,اعتماد,KAPPA 593,170.0,110.0
MA20013,خلاط حوض المطبخ سحاب كروم مطفي,سانيتاري ويرز,,280.0,129.0
MA20016,خلاط حوض المطبخ سحاب كروم أسود,فيرونا,VE00370,350.0,230.0
ME10017,خلاط حوض المطبخ شجرة كروم,فرامو,MA123CR,285.0,191.0
ME10018,خلاط حوض المطبخ شجرة كروم,فينوس,SVS1,165.0,110.0
MM30019,خلاط حوض المطبخ حائطي كروم,فينوس,DELMA,170.0,120.0
MM30022,خلاط حوض المطبخ حائطي كروم,فينوس,PEARL,175.0,115.0
MA20031,خلاط حوض المطبخ سحاب أسود,سانيتاري ويرز,,370.0,168.0
