Code article,Désignation,Marque,Modèle,Detail - القطاعي - LYD - Lybia,P.A HT
PA30120,رأس قفل 7 سم,داف,706.68-SM,30.0,22.5
PA30138,مكنسة 60 سم,الشركة العالمية للتصدير و الإستيراد,,17.0,11.25
PE30201,"سكينة تغليف 2""",اي بي سي,AC70024,4.5,2.35
PA30212,"مقص حديد 30"" 750 مم",اي بي سي,AC19075,100.0,65.0
PA30213,"مقص حديد 18"" 450 مم",الشركة العالمية للتصدير و الإستيراد,,35.0,25.5
PA30243,منشار شجر,بيسو,,14.0,8.5
PA30247,ميزان ألمنيوم 40 سم,سفيدن,,68.0,53.5
MA20263,خلاط حوض المطبخ سحاب كروم,ليمكس,LY2711-CP,350.0,265.0
ASCA60283,ستريتشة 2.44 متر,الشركة العالمية للتصدير و الإستيراد,,75.0,30.0
ASCA60284,ستريتشة 2.44 متر,الشركة العالمية للتصدير و الإستيراد,,75.0,30.0
SA10311,طقم اكسسوار كروم,ليسو,2667 ZINC,220.0,145.0
ARSB80322,"مسكر شطافة دبل ""1/2"" * ""1/2 كروم",ليسو,,60.0,25.0
RA30356,ديسكو جرانيت 4.5'' 115 مم,فندر,195544,18.0,11.5
PA30374,كستولة,الشركة العالمية للتصدير و الإستيراد,,16.0,10.5
RA30388,ديسكو خشب 7'' 180 مم,الشركة العالمية للتصدير و الإستيراد,BELOTA BE111530,15.0,8.5
EL50403,لصقة ألمنيوم 5 سم 30 متر,الشركة العالمية للتصدير و الإستيراد,,35.0,23.5
PA30404,"فرشة صاروخ نحاس 4"" 100 مم",اي بي سي,AC19109,8.0,5.1
PA30445,سلكون حراري,الشركة العالمية للتصدير و الإستيراد,,0.5,0.298
PA30451,شنطة مسمار,اي بي سي,AC18896,35.0,25.0
PA30454,مفتاح فرنسي رقم 10,الشركة العالمية للتصدير و الإستيراد,,18.0,11.5
PA30455,مفتاح فرنسي رقم 12,الشركة العالمية للتصدير و الإستيراد,,20.0,13.5
PA30456,ليفة مسمار 70 سم,الشركة العالمية للتصدير و الإستيراد,,18.0,11.5
PA30458,ليفة مسمار 60 سم,الشركة العالمية للتصدير و الإستيراد,,19.0,12.0
RO10477,حنفية 1/2,سانيتاري ويرز,FIRMER YLN6313-1/2,30.0,21.875
PA30478,بينسة رقم 7,اي بي سي,AC18796,20.0,12.25
PA30502,بونتة 22 * 450 مم,الشركة العالمية للتصدير و الإستيراد,,20.0,13.5
PA30505,بونتة منقار أفطس,الشركة العالمية للتصدير و الإستيراد,VEIBER 8275,12.0,6.75
EL50519,لصقة خزان 10 سم 5 متر,الشركة العالمية للتصدير و الإستيراد,,25.0,16.75
PA30521,ترودي 3.25 * 350 مم (1ممØ),الشركة العالمية للتصدير و الإستيراد,MAGMAWELD 3.25x350,55.0,38.5
PA30532,موس مرش,الشركة العالمية للتصدير و الإستيراد,,5.0,2.75
PA30549,فيتي لاميرة 4.2 * 13 (100غ),الشركة العالمية للتصدير و الإستيراد,,4.0,1.575
PA30560,فيتي بالخبور 10 مم (50 قطعة),الشركة العالمية للتصدير و الإستيراد,,6.0,3.5
PA30564,فيتي بالخبور 10مم (50 قطعة),الشركة العالمية للتصدير و الإستيراد,7203B,27.0,17.5
PA30565,فيتي بالخبور 6مم (100 قطعة),الشركة العالمية للتصدير و الإستيراد,72013,8.0,4.3
PA30609,سلسلة رقم 10 (1متر),الشركة العالمية للتصدير و الإستيراد,,25.0,16.667
RA30619,مقبض باب مع قفل 85 مم,الشركة العالمية للتصدير و الإستيراد,,90.0,68.0
PA30389,قفل شنطة 40 مم,الشركة العالمية للتصدير و الإستيراد,L4040000,45.0,35.0
ELC2005,قرجوطة 32مم *25 م,فاندي,F0025,55.0,32.0
ARSB80029,سماعة دوش مع طوبو كروم,توريما,1372-005,150.0,78.75
MA20017,خلاط حوض المطبخ سحاب كروم,توريما,MOLLA 1785011-T40,740.0,495.0
MD20028,خلاط دوش كروم,نيوأرك,NEWART 150551,320.0,230.0
ARSB80152,شطاف ظغط دائري مع طوبو كروم,يولي,LUSSO,120.0,59.0
AASB30078,حاملة فرشاة أسنان أسود,سانيتاري ويرز,MILET,65.0,45.0
AASB30190,حاملة فوط كروم,ونكو,SAN REMO,95.0,22.5
PD20043,حاجز دوش 8 مم مظلم 100 سم,ليسو,WIC-100A,680.0,445.0
PE30150,لصقة دبل فيس 3 سم,الشركة العالمية للتصدير و الإستيراد,,10.0,4.25
PA30015,مفتاح بيبة رقم17مم,الشركة العالمية للتصدير و الإستيراد,AC18693,15.0,7.5
PA30058,متر 7.5م,ABC,,25.0,18.5
ALVM50071,سيفون حوض الوجه دهبي,تركواز سيراستايل,,300.0,205.0
EL50996,لامبة لد 30وات,دي بي اس,E27,10.0,5.75
ML30103,مرايا حمام مع إضاءة لد 80*50سم,سانيتاري ويرز,M006,200.0,145.0
WS10114,مقعد معلق رايملس أبيض,تركواز سيراستايل,HERA,1300.0,1057.3
PE30127,بونتة صاروخ طاسة,اي بي سي,35,50.0,35.0
PE32118,راس غاز ايطالي,الشركة العالمية للتصدير و الإستيراد,,70.0,49.5
RA20135,سنيسكا خارجيه دبل كواردة لحام 32,كالدي,بي بي ر - PPR,35.0,23.0
PS20765,علاقة ملابس ثلاثية دوران بدون قصبة,سانيتاري ويرز,,180.0,78.0
EL10138,حوض مطبخ ستانلس ستيل 70*45 كروم,ليسو,,350.0,165.0
ABAG50150,سيفون حوض استحمام بانيو,رايمر,,70.0,38.5
CD40161,مسطرة دوش زوجية دهبي,ازورا ربنتري,ABM-01,220.0,125.0
ARSB80469,سماعة دوش مع طوبو ذهبي,مونتانا س.ل,MT-4102G,220.0,139.0
ALVM50260,سيفون حوض الوجه كروم,سانيتاري ويرز,17-8882,140.0,61.07
ARSB80272,شطاف ظغط دائري مع طوبو كروم,توريما,0332711-T40,200.0,98.0
MI10264,مراية تجميل مكبرة,سانيتاري ويرز,WL28WL23,140.0,75.0
PE30271,طلاء بخاخ داخلي و خارجي أبيض لامع,شركة الغزالة لمواد البناء,,10.0,4.833
ML10283,خلاط حوض وجه كروم,ARB,JALT001LYC00,330.0,209.0
MLE40284,خلاط حوض وجه مدفون مع مَصَب كروم,ARB,KILI002LYC00,850.0,560.5
PE30399,فرشة طلاء ايطالية رقم 50,فندر,,10.0,6.5
ARSB87399,سماعة دوش مع طوبو كروم,اي ار بي,100101,200.0,84.0
ARSB80786,قصبة دوش مربعة 40 سم اسود,سانيتاري ويرز,,100.0,62.02
ARSB80437,سماعة دوش مع طوبو كروم,سانيتاري واير,5,35.0,16.5
ARSB80818,شطاف ظغط دائري مع طوبو كروم,توريما,1372-01400-002,80.0,42.0
ARSB80826,كسكاس دوش دائري 250 مم مع قصبة كروم,توريما,1372-15254-014,450.0,240.0
ARSB80929,شطاف ظغط دائري مع طوبو كروم,ليسو,1138,150.0,68.0
CD40761,مسطرة دوش زوجية كروم,سانيتاري ويرز,JR079-26,350.0,175.0
ML10747,خلاط حوض وجه كروم,سانيتاري ويرز,OM-58C,350.0,225.0
PA35446,فيتي بالخبور 8 مم (50 قطعة),المتفوق,,10.0,4.45
PE30446,صندوق عدة بلاستك رقم21,اي بي سي,AC1880,65.0,50.0
PE30447,صندوق عدة بلاستك رقم18,اي بي سي,,60.0,45.0
PE30448,صندوق عدة بلاستك رقم15,اي بي سي,,45.0,35.0
ML30464,مرايا حمام مع إضاءة لد مربعة 60*80سم,سانيتاري ويرز,1519,180.0,97.0
ARSB80481,قصبة دوش 40 سم سقفية كروم,سانيتاري ويرز,,100.0,48.0
MA20471,خلاط حوض المطبخ شلال منظومة نص فل,سانيتاري ويرز,XSDD010582,200.0,99.0
PE30477,شفاط ابيض,ABM,L6,155.0,74.5
PE30478,شفاط خشبي,ABM,L8,185.0,91.5
PE30479,شفاط ابيض,ABM,L8,180.0,89.1
PE30481,لصقة مع مجفف 400 مل,ابل,,24.0,19.5
ALVM50765,رأس سيفوني كروم,كاسكاد,H2098,150.0,70.0
ML30493,مرايا حمام مع إضاءة لد 100*80 سم,سانيتاري ويرز,SYC018,280.0,175.0
ML30498,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,SYC009,220.0,120.0
ML30500,مرايا حمام مع إضاءة لد مع اطار أسود 80*60 سم,سانيتاري واير,MY029,380.0,255.0
SA10520,طقم اكسسوار كروم,ليسو,2694,380.0,255.0
AB10558,خزانة حمام أبيض,سانيتاري ويرز,9716,550.0,300.0
AM0559,حوض وجه مع دولاب حمام -80 سم,سانيتاري ويرز,9716,1200.0,700.0
AM40560,مراية دولاب حمام -80 سم,سانيتاري ويرز,9716,320.0,215.0
AB10562,خزانة حمام أبيض,سانيتاري ويرز,9914,400.0,200.0
AM0563,حوض وجه دولاب حمام -90 سم,سانيتاري ويرز,9914,500.0,300.0
AM0564,دولاب حمام -90 سم,سانيتاري ويرز,9914,1000.0,600.0
AM40565,مراية دولاب حمام -90 سم,سانيتاري ويرز,9914,320.0,195.0
AB10567,خزانة حمام أبيض,سانيتاري ويرز,9712,550.0,300.0
AM0568,حوض وجه مع دولاب حمام -80 سم,سانيتاري ويرز,9712,1200.0,700.0
AM40569,مراية دولاب حمام -80 سم,سانيتاري ويرز,9712,320.0,215.0
ARSB80522,طوبو شطاف 120 سم كروم,سانيتاري ويرز,VG023,40.0,20.0
ALVM50061,مطول سيفون حوض الوجه 30سم كروم,فينوس,,35.0,23.0
RFP1428,"فسيبلي "" 1/2 أنثى * ""3/8 أنثى 60سم",سانيتاري ويرز,,20.0,9.5
MTE60822,خلاط شطاف مدفون شريحة مربع كروم,توريما,MERIDA 8Q00011-093,370.0,235.0
ARSB80362,رقبة خلاط متحركة كروم,سانيتاري ويرز,,15.0,6.5
ATWC50258,زر بتريا كروم,الشركة التونسية للمواد الصحية,9240701,225.0,140.0
AASB30304,حاملة ورق ناعم كلينكس رخامي,ليسو,JR031-8,150.0,80.0
MT30008,خلاط شطاف مع شطاف كروم,سانيتاري ويرز,PURE MOH-42,90.0,50.0
ALVM50027,سيفون حوض الوجه اسود,سانيتاري ويرز,,120.0,65.0
ALVM50031,سيفون حوض الوجه كروم,سانيتاري ويرز,JR079-49ZINC-SQ,160.0,75.0
AASB30055,حاملة فرشاة أسنان زجاجي,جي اف مارك,9200-61,70.0,38.0
AASB30056,صابونية كروم,فينوس,BA707,95.0,59.0
AASB30057,صابونية زجاجي,جي اف مارك,9200-67,70.0,38.0
AASB30079,صابونية أسود,KBM,9111,60.0,35.0
AASB30080,حاملة فرشاة أسنان أسود,KBM,9112,65.0,35.0
PS20139,علاقة مناشف كروم,سانيتاري ويرز,AVATAR,85.0,50.0
AASB30141,حاملة فوط كروم,سانيتاري ويرز,AVATAR,75.0,40.0
MC10047,مجرى 30 سم *6 سم أسود,تركي,,130.0,80.0
MC10057,سرفنتينة 15 سم * 15 سم كروم,ستار سانيتار,MARMARA,65.0,35.5
MC10083,مجرى 45سم *7 سم كروم,بيورا,DL-06-45,320.0,257.0
MC10089,مجرى 60سم *7 سم كروم,بيورا,DL-06-60,280.0,160.0
ARSB80237,طوبو دوش 175سم كروم,بضائع أوروبية,F21217141753,55.0,32.0
ARSB80230,وصلة مسطرة دوش50سم ذهبي,سانيتاري ويرز,,25.0,12.0
AASB30164,حاملة فرشاة أسنان,بضائع أوروبية,,45.0,10.0
ADOU50187,سيفون حوض قدم,سانيتاري ويرز,راس كبير,45.0,30.0
ATWC50210,مثبت غطاء مقعد جانبي,سانيتاري ويرز,,10.0,2.5
ALVM50208,مولة عمود حوض الوجه,سانيتاري ويرز,,10.0,2.75
AASB30784,موزع صابون سائل كروم,بضائع أوروبية,1397,13.0,5.0
ARSB80804,شطاف ضغط دائري مع طوبو ذهبي,فوكس,VX-03G,120.0,63.0
WP20809,مقعد أرضي أبيض,ايجا فتريفاي,LIKYA-12000,550.0,300.0
PLSA0208,وردة كروم,سانيتاري ويرز,,10.0,6.75
ARSB80426,مصب دوش مع تحويلة كروم,ريفانا,CND411,150.0,72.0
SA10429,طقم اكسسوار أسود\كروم,ديولو,50-10-49,350.0,235.0
MA20460,خلاط حوض المطبخ سحاب كروم,ديولو,WJ-1033,300.0,180.0
ARSB80468,"مسكر شطافة دبل ""1/2"" * ""1/2 كروم",تركارت,MIKRO,90.0,53.5
ML30520,مرايا حمام مع إضاءة لد 100*70 سم,سانيتاري ويرز,2,220.0,110.0
SA10649,طقم اكسسوار كروم,بن أمور,,150.0,90.0
ME10684,خلاط حوض المطبخ شجرة كروم,فولنا,VO8015,150.0,95.0
AASB30713,مورش صابونية دائري,بن أمور,مجموعة بن عمر,15.0,5.0
PS20781,علاقة مناشف كروم,بضائع أوروبية,230610,65.0,35.0
ALVM50785,رأس سيفوني كروم,سانيتاري ويرز,MAF ELSEAH,60.0,29.0
CD40813,مسطرة دوش زوجية كروم,سانيتاري واير,BRAVO,200.0,115.0
SC10832,بوكس زاوية 200*100*80 سم كروم,سانيتاري ويرز,,800.0,400.0
MT30861,خلاط شطاف ذهبي,سانيتاري ويرز,OM-104-GOLD,130.0,65.0
ML30864,مرايا حمام مع إضاءة لد 80*80 سم,ديولو,DE 006,180.0,95.0
AASB30871,رف زاوية زوجي اسود مطفي,ليمكس,LY 2329 BLACK,220.0,145.0
VS10874,حوض وجه معلق 80*48سم,تركواز سيراستايل,LILA,420.0,267.0
VS10883,عمود حوض وجه أرضي أبيض,ايجا فتريفاي,KAPYA-15102001,120.0,40.0
PS20923,علاقة ملابس رباعية,سانيتاري ويرز,WL-22,60.0,35.0
RO10924,مسكر زاوية ''1/2 * ''1/2 ذهبي,سانيتاري ويرز,POLO-002,35.0,19.0
MT30928,خلاط شطاف كروم,أيولي,9425-100 STILE,350.0,235.0
CD40753,مسطرة دوش زوجية اسود,سانيتاري ويرز,9614-9,250.0,105.0
CD40754,مسطرة دوش زوجية اسود,سانيتاري ويرز,9614-10,250.0,105.0
CD40762,مسطرة دوش زوجية كروم,سانيتاري ويرز,JR079-29,250.0,135.0
MT30794,خلاط شطاف كروم,سانيتاري ويرز,OM-108,90.0,52.0
AASB30763,فرشاة تنظيف مرحاض رصاصي,سانيتاري ويرز,SG-36,50.0,22.5
AASB30765,فرشاة تنظيف مرحاض أبيض,سانيتاري ويرز,SG-49,50.0,23.5
MDE50504,مطول خلاط شطافة مدفون,توريما,191811,300.0,195.0
ARSB80793,كسكاس دوش مربع شريحة 250*250 مم مع قصبة كروم,ليسو,JR133-1C,240.0,95.0
AM0822,دولاب حمام مع إضاءة لد-100 سم,سانيتاري ويرز,9924,1000.0,750.0
VS10824,حوض وجه معلق -100 سم,سانيتاري واير,9924,750.0,450.0
ML30823,مرايا حمام مع إضاءة لد 100*70 سم,سانيتاري ويرز,9924,300.0,150.0
WP20892,مقعد عربي أبيض61*51,اروزر,,220.0,120.0
CE10925,سخانة 80 لتر عمودية,اف جي باور,D80-15FA-4789,720.0,570.0
ARSB80940,اكسسوار وجه خلاط شطاف مدفون اسود,توريما,8G001BB-040,420.0,275.0
ARSB80941,واكسسوار وجه خلاط دوش مدفون اسود,توريما,8G002BB-040,700.0,475.0
ARSB80942,وردة خلاط شطاف مدفون كروم,توريما,A2L03890-001,130.0,85.0
ARSB80943,وردة خلاط دوش مدفون كروم,توريما,A2L04290-001,150.0,100.0
ARSB80944,يد خلاط مدفون كروم,توريما,BLOG 0124511,85.0,55.0
LG40987,حوض كواريون كوارتز80سم أبيض,ديولو,S80-1,580.0,350.0
EG40988,رف كواريون كوارتز 80سم أبيض,سانيتاري ويرز,S80-1,350.0,180.0
LG41028,حوض مع رف كواريون كوارتز 80سم أبيض,RIMERIO,KL-80-6,1350.0,900.0
ML31029,مرايا حمام كواريون 48*80سم أبيض,RIMERIO,KL-80-6,500.0,340.0
PD21031,حاجز دوش 60*190سم 8مم اطار كروم مخطط,KALVA,13.2/60CM,750.0,490.0
RA21065,"سنيسكا 25"" كروم مربع",الجودة,بي بي ر - PPR,150.0,95.0
ARSB81072,كسكاس دوش مربع 300*300 مم مع قصبة كروم,ليمكس,LY2785S-CP-12,200.0,125.0
ME10012,خلاط حوض المطبخ شجرة كروم,فرامو,DE111CR,410.0,265.0
MC10139,سرفنتينة 15 سم * 15 سم ذهبي,بيورا,FD-61-GOLD,110.0,75.0
MDE50822,خلاط دوش مدفون ايدج ذهبي,توريما,8E01033-090,1050.0,755.0
MTE60147,خلاط شطاف مدفون ذهبي,توريما,EDGE 8E00033-090,700.0,485.0
WP20159,مقعد أرضي ملحوم سداسي أبيض,ب.أمور,SH-276-S,680.0,435.0
AECU50198,سيفون حوض المطبخ,تانفليكس,,45.0,25.0
ARSB80376,سماعة دوش مع طوبو كروم,ليسو,,80.0,48.0
RFP1425,"فسيبلي "" 1/2 أنثى * ""1/2 أنثى 80سم",سانيتاري ويرز,,30.0,18.5
VS10046,حوض وجه معلق زاوية أبيض 50 سم,كورنات,NEW DAY,190.0,95.0
AASB30029,رف ستاينلس ستيل أسود,فينوس,458B,80.0,47.0
ALVM50392,رأس سيفوني رخامي,سانيتاري ويرز,974,35.0,15.0
AECU50100,سيفون حوض المطبخ,L.B.PLAST,M850R-226,45.0,21.5
ML10059,خلاط حوض وجه 15 سم كروم,شيزا,MELLOW,380.0,198.0
ARSB80197,قصبة دوش 40 سم شبشاشة كروم,سانيتاري ويرز,,100.0,57.0
ATWC50179,زر بتريا ذهبي,غروهي,38732GLO,780.0,385.0
LG40172,حوض وجه برسلين مشطوف 80 سم,ليسو,3080,600.0,400.0
EG40173,رف حوض وجه برسلين 80 سم,ليسو,3080,350.0,180.0
ARSB80594,وجه خلاط شطاف مدفون كروم,دانيال,5602ROCR,65.0,38.5
ARSB80611,وجه خلاط شطاف مدفون دائري كروم,توريما,0127611-001,80.0,55.0
ARSB80612,وجه خلاط دوش مدفون دائري كروم,توريما,0147911-40,160.0,90.0
ARSB80613,يد خلاط مدفون كروم,توريما,VELVET,75.0,50.0
ARSB80682,وجه خلاط دوش مدفون مربع كروم,توريما,0124911-T40,170.0,95.0
PS20820,علاقة مناشف فردية كروم,توريما,1372-ACCESS-002,250.0,145.0
MLE40823,خلاط حوض وجه مدفون مع مَصَب كروم,توريما,BLOG 8G31311-094,980.0,560.0
PD20889,حاجز دوش 100 * 190 سم 8مم أسود,سانيتاري ويرز,PF-40-12/100,700.0,465.0
ML10790,خلاط حوض وجه أسود,سانيتاري ويرز,OM-32B,350.0,230.0
EL10985,حوض مطبخ ستانلس ستيل تحت الرخامة 304 50*40*22 سم,أسيل,359,600.0,365.0
MD20004,خلاط دوش كروم,فينوس,RACHEL A2,520.0,350.0
MLE40042,خلاط حوض وجه مدفون مع مَصَب كروم,فرامو,UP244CR,850.0,585.0
VS10205,حوض وجه معلق رصاصي -60سم,ب.أمور,SH-8420-60-G,500.0,243.087
EG30252,حوض مطبخ جرانيت أسود 80*50,سانيبال,توكس,620.0,415.0
EG40360,رف حوض وجه برسلين 65 سم,رويال,YB036_8,150.0,40.0
MC10470,مجرى 55سم *7 سم كروم,بيورا,DL-02-55,320.0,257.0
ARSB8040,شطاف ظغط مربع مع طوبو ذهبي,سانيتاري ويرز,MAF ELSEAH,120.0,72.0
SA10069,طقم اكسسوار رصاصي,بيروتي,Lisbone,60.0,28.0
PLSA0265,وردة كروم,ليمكس,LY-2071-CP,20.0,13.5
EL10385,حوض مطبخ ستانلس ستيل 304 81 *45 سم,أسيل,AS3455,750.0,575.0
LG40081,قاعدة حوض وجه برسلين 90 سم,سانيتاري ويرز,A05,300.0,200.0
MM30025,خلاط حوض المطبخ حائطي كروم,شيزا,ROBIN,210.0,135.0
ML10075,خلاط حوض وجه أسود,فيرمر,YLN18559-1H,200.0,125.0
MD20060,خلاط دوش مع سماعة كروم,سانيتاري ويرز,8028,170.0,100.0
SA10020,طقم اكسسوار خزف رباعي أسود,سانيتاري ويرز,ALPER HOME 4,75.0,37.0
AASB30157,حاملة فوط أسود,سانيتاري ويرز,MILET 37077-K,115.0,70.0
VP20115,حوض وجه دائري فوق الرخام - 46سم,تركواز سيراستايل,ZERO,450.0,205.0
ARSB80270,مصب دوش مع تحويلة كروم,أنكا,ANKA ANK-1010,140.0,86.0
CD40162,مسطرة دوش زوجية دهبي,سانيتاري ويرز,,250.0,135.0
VP20786,حوض وجه فوق الرخام أبيض,سانيتاري ويرز,A05,260.0,175.0
EG30419,حوض مطبخ جرانيت رمادي محبب 55*44,سانيتاري ويرز,جرمة,370.0,225.0
CD40238,مسطرة دوش مع خلاط دهبي,ا بي ام انترناشونال,1003,550.0,335.0
CD40240,مسطرة دوش مع خلاط اسود,ا بي ام انترناشونال,1004,550.0,305.0
PD20288,حاجز دوش 8 مم بالعلاقة المناشف100 سم,ليسو,WIC-100E,700.0,410.0
ARSB80639,"مسكر شطافة ""1/2"" * ""1/2 كروم",بن أمور,,30.0,14.0
ARSB80807,شطاف ظغط دائري مع طوبو أسود,توريما,1372-03329-031,350.0,230.0
ARSB80810,مصب دوش مربع قصير بدون تحويله أسود,توريما,03279BB-T40,700.0,470.0
ALVM50809,سيفون حوض الوجه كروم,توريما,1372-01659-002,320.0,210.0
MDE50821,خلاط دوش مدفون فلفيت أسود,توريما,8V010BB-090,950.0,650.0
AM0739,دولاب حمام مع حوض وجه 80 سم,سانيتاري ويرز,38,1200.0,780.0
AB10742,خزانة حمام أبيض,سانيتاري ويرز,38,430.0,200.0
ML30747,مرايا حمام مع إضاءة لد,سانيتاري ويرز,38,150.0,100.0
WS10819,مقعد معلق كبير بلس سايز تورنيدو أبيض,ب.أمور,LT-140E-UQ3,900.0,505.0
AM0839,حوض وجه مع دولاب حمام -80 سم,سانيتاري ويرز,1513,1400.0,990.0
AB10838,خزانة حمام أبيض,سانيتاري ويرز,1513,250.0,150.0
ML30838,مرايا حمام مع إضاءة لد80*60 سم,سانيتاري ويرز,1513,200.0,120.0
AM0858,دولاب حمام -80 سم,سانيتاري ويرز,9938,1000.0,600.0
VS10841,حوض وجه معلق -80 سم,سانيتاري واير,9938,700.0,350.0
AB10844,خزانة حمام أبيض,سانيتاري ويرز,9938,250.0,150.0
EG30882,حوض مطبخ جرانيت بيج78*50 فردي,ب.أمور,Sousse,880.0,555.0
EL10932,حوض مطبخ ستانلس ستيل تحت الرخامة 304 75*44 سم,أسيل,AS237DRAWN,680.0,450.0
MTE60039,خلاط شطاف مدفون كروم,فرامو,SM206CR,270.0,170.0
RD30306,حوض قدم خزف مربع 70*70 سم,اديال سانيتار,,400.0,145.0
AASB30005,موزع صابون كروم,سانيتاري ويرز,317,40.0,18.0
AASB30008,موزع صابون سائل خزف,سانيتاري ويرز,,35.0,13.5
AASB30051,موزع صابون سائل كروم,فينوس,VA-08,105.0,69.0
WA40088,غطاء مقعد موطو أبيض,فينوس,SCH22,70.0,39.0
MDE50049,خلاط دوش مدفون كروم,توريما,8V01011-092,480.0,275.0
ART0007,كسكاس دوش مربع 200*200 مم كروم,رايمر,,230.0,145.0
ARSB80240,كسكاس دوش شريحة مربع 250*250 مم مع قصبة كروم,توريما,1372-15231-008,600.0,395.0
CD40235,مسطرة دوش مع خلاط ذهبي,ا بي ام انترناشونال,2003,650.0,465.0
ML10793,خلاط حوض وجه أسود,سانيتاري ويرز,OM-58B,350.0,225.0
ML10766,خلاط حوض وجه كروم,توريما,9C33011-093,600.0,395.0
PD20786,حاجز دوش 10مم اطار كروم مضبب 90 سم,سانيتاري ويرز,LUE90,940.0,620.0
EL10887,حوض مطبخ ستانلس ستيل 60*45 أسود,ب.أمور,Florence,420.0,265.0
ARSB80109,شطاف ظغط مربع مع طوبو ذهبي,توريما,1372-010-KITSHUTOF,400.0,230.0
MA20118,خلاط حوض المطبخ سحاب ذهبي,سانيتاري ويرز,,450.0,225.0
ME10130,خلاط حوض المطبخ سحاب كروم,سانيتاري ويرز,,190.0,125.0
MM30010,خلاط حوض المطبخ حائطي كروم,اعتماد,VEGA 356T,180.0,115.0
MM30020,خلاط حوض المطبخ حائطي كروم,فينوس,PEARL,185.0,122.0
MA20036,خلاط حوض المطبخ سحاب كروم,سانيتاري ويرز,,220.0,145.0
ARSB80069,مصب دوش بدون تحويلة كروم,فينوس,RACHEL D2,160.0,99.0
ARSB80098,مصب دوش بدون تحويلة ذهبي,بريمكس,J007G,120.0,63.0
ARSB80104,مصب دوش بدون تحويلة كروم,دانيال,K4704CR,270.0,185.0
AASB30154,موزع صابون كروم,فينوس,SD11C,50.0,28.0
AECU50205,سيفون حوض المطبخ,اعتماد,,25.0,10.5
ARSB80319,مخرج شطاف ذهبي,بريمكس,J004G,75.0,38.0
ARSB80335,مخرج شطاف كروم,فينوس,OES,65.0,39.0
ARSB80340,"مسكر شطافة ""1/2"" * ""1/2 كروم",فينوس,,45.0,28.0
ARSB80343,مخرج شطاف كروم,سانيتاري ويرز,LY-4003B,130.0,30.0
PE30015,زمالطو ضد الصدأ 4 كغ أَحْمَر,دهانات المدينة مصراتة,,45.0,40.0
PE30017,زمالطو ضد الصدأ 3 كغ رصاصي,دهانات المدينة مصراتة,,45.0,39.9
PE30020,زمالطو 2.5 كغ أصفر لامع,دهانات المدينة مصراتة,,55.0,48.5
PE30030,دهان مطاطي عازل أكريليكي كغ13 أبيض,دهانات المدينة مصراتة,,185.0,137.75
PE30043,طلاء زيتي 700 غ أَحْمَر لامع,دهانات المدينة مصراتة,طلاء زيتي,20.0,15.0
PE30048,طلاء زيتي 700 غ أزرق داكن,دهانات المدينة مصراتة,طلاء زيتي,20.0,15.0
AASB30012,رف زاوية كروم,بضائع أوروبية,ALUXX,45.0,23.0
RA30050,طوبو رش 3/4 20 متر,التوفيق,,70.0,50.0
ARSB80999,كسكاس دوش دائري بالقصبة 11*15 سم كروم,ستورم,MC04,35.0,12.5
WA40086,غطاء مقعد أبيض,سانيتاري ويرز,,60.0,32.5
PE30115,"منشار خشب 18"" 450 مم",بيسو,,12.0,7.5
PE30118,"منشار حديد 12""",اي بي سي,AC18734,30.0,16.75
P30113,بدل كورة,بريو,P1206/2024,220.0,138.0
PA30122,قفل سرانتي يمين + يسار,والي,L641,130.0,85.0
PA30161,خباشة,الشركة العالمية للتصدير و الإستيراد,,22.0,15.5
PE30170,"فرشة طلاء 1.5"" 38.1 مم",فندر,,4.5,2.5
PE30177,مزيل صدأ 450 مل,الشركة العالمية للتصدير و الإستيراد,OYSTER FL007,13.0,8.5
PE30190,مزيل صدأ 330 مل,الشركة العالمية للتصدير و الإستيراد,WDB,5.0,2.417
PA30196,منفاخ هواء كهربائي 500 وات,اي بي سي,AC18729,140.0,75.0
PE30218,"سكينة تغليف 2.5"" 6.5 سم",فندر,,5.5,3.5
PE30220,"سكينة تغليف 1.5"" 3.8 سم",فندر,,5.0,3.25
PE30221,"سكينة تغليف 3.5"" 9 سم",فندر,,6.5,4.0
PA30249,ميزان 30 سم,صولا,,11.0,6.5
RA30254,رأس غاز ظغط,الشركة العالمية للتصدير و الإستيراد,HRP-105,50.0,33.5
ARSB80269,شطاف ظغط مجرح مع طوبو كروم,رايمر,332332OZ,250.0,165.0
ASCA60276,ستريتشة 2.44 متر,الشركة العالمية للتصدير و الإستيراد,,75.0,30.0
RA30320,رأس غاز ظغط,الشركة العالمية للتصدير و الإستيراد,HP-300,50.0,33.5
PA30347,مفتاح إنجليزي رقم 8,فندر,,16.0,10.5
PA30348,مفتاح إنجليزي رقم 24,فندر,,45.0,32.0
PE30354,مطرقة,الشركة العالمية للتصدير و الإستيراد,,40.0,28.0
PA30366,كاوية لحام,الشركة العالمية للتصدير و الإستيراد,,15.0,7.5
PA30370,فرطاسة,الشركة العالمية للتصدير و الإستيراد,,7.0,3.5
PA30409,عجلة باب سحاب رقم 120,الشركة العالمية للتصدير و الإستيراد,,90.0,66.0
PA30410,عجلة باب سحاب رقم 80,الشركة العالمية للتصدير و الإستيراد,,25.0,17.5
